d	rows_due	amt	loans	ontime_rows	ontime_amt	late_rows	late_amt	open_rows	open_amt
2026-08-31	356	48984.05	356	202	26438.12	21	3272.49	133	19073.44
2026-09-01	321	37092.69	321	222	24020.63	29	2954.21	70	9185.45
2026-09-02	131	16795.53	131	79	11145.03	16	1760.00	36	3576.50
2026-09-03	116	14826.26	116	74	9179.27	12	1730.52	30	3587.33
2026-09-04	55	5940.37	55	27	2309.88	9	1190.18	19	2338.04
2026-09-05	272	33677.38	270	148	18210.99	47	5313.79	77	9593.51
2026-09-06	80	9920.72	80	40	5141.00	23	2765.28	17	2014.44
2026-09-07	415	50501.88	415	232	27283.70	56	6988.44	127	15700.74
2026-09-08	103	11244.87	103	48	4684.74	15	1702.76	40	4807.37
2026-09-09	24	3374.85	24	9	1018.00	6	668.11	9	1688.74
2026-09-10	641	78962.29	641	394	44786.00	48	5461.35	199	26650.32
2026-09-11	105	11834.86	105	63	7117.68	7	990.56	35	3553.62
2026-09-12	117	14077.66	117	89	10511.66	8	783.00	20	2783.00
2026-09-13	44	6139.47	44	32	4314.00	2	214.00	10	1611.47
2026-09-14	158	19449.82	158	96	11576.57	0	0.00	62	7872.69
