m	rows_due	amt	loans	open_rows	open_amt
2023-01	842	94436.69	839	34	3789.62
2023-02	871	92846.81	860	23	2709.55
2023-03	1050	115789.52	994	44	5512.00
2023-04	1029	107047.53	1009	23	2758.30
2023-05	1150	124580.18	1104	44	5158.60
2023-06	1196	124237.76	1183	44	5066.56
2023-07	1283	130674.31	1263	44	5193.24
2023-08	1312	131770.93	1300	48	5087.82
2023-09	1359	135650.09	1349	49	5075.98
2023-10	1448	145349.67	1422	48	5073.02
2023-11	1480	154524.19	1462	60	7316.78
2023-12	1521	156899.30	1514	48	6292.50
2024-01	1532	154302.55	1524	45	5171.00
2024-02	1517	154638.81	1506	38	4849.94
2024-03	1576	161808.40	1566	38	4647.54
2024-04	1638	167979.57	1619	39	4583.00
2024-05	1610	166701.91	1598	39	4807.56
2024-06	1632	177027.61	1619	38	4561.35
2024-07	1669	177151.61	1645	43	5834.16
2024-08	1649	182171.29	1643	33	4374.09
2024-09	1661	180478.56	1655	28	3701.97
2024-10	1723	188256.35	1700	34	4806.45
2024-11	1782	193634.77	1771	35	4800.00
2024-12	1883	207095.88	1869	44	6397.00
2025-01	1953	215883.00	1950	41	5459.38
2025-02	1992	218782.55	1984	41	4950.83
2025-03	2050	225859.91	2041	43	5407.20
2025-04	2028	223039.76	2023	46	5490.16
2025-05	2064	227703.01	2057	45	5548.11
2025-06	2086	233265.21	2085	49	6524.90
2025-07	2210	249510.42	2200	47	6712.69
2025-08	2157	241030.27	2155	50	6390.63
2025-09	2199	246500.10	2180	57	7443.73
2025-10	2204	248322.67	2192	54	6965.38
2025-11	2250	238793.13	2244	56	6760.33
2025-12	2646	265572.60	2583	83	10460.26
2026-01	2923	300031.62	2888	102	14643.37
2026-02	2914	304734.28	2866	102	15010.11
2026-03	4311	470230.39	3817	263	38506.34
2026-04	4326	466630.81	4268	299	41763.80
2026-05	4917	528044.67	4823	414	56632.34
2026-06	5916	613684.12	5742	565	77251.43
2026-07	6914	731586.12	6804	755	103330.93
2026-08	7305	848090.83	7208	1191	162350.60
2026-09	1522	184278.55	1520	527	64642.37
