d	act	b	rows_od	amt
2026-08-31	0	1	1	140.00
2026-08-31	0	2	4	409.00
2026-08-31	0	3	2	340.00
2026-08-31	0	4	2	266.00
2026-08-31	0	5	2	266.00
2026-08-31	0	6	1813	219632.22
2026-08-31	1	1	3	474.00
2026-08-31	1	2	540	72700.35
2026-08-31	1	3	572	77718.05
2026-08-31	1	4	730	98990.07
2026-08-31	1	5	563	77155.39
2026-08-31	1	6	1424	198160.06
2026-09-01	0	1	4	590.00
2026-09-01	0	2	4	409.00
2026-09-01	0	3	2	340.00
2026-09-01	0	4	2	266.00
2026-09-01	0	5	2	266.00
2026-09-01	0	6	1813	219632.22
2026-09-01	1	1	150	21974.44
2026-09-01	1	2	493	67019.84
2026-09-01	1	3	594	80222.53
2026-09-01	1	4	717	97437.77
2026-09-01	1	5	564	77238.08
2026-09-01	1	6	1434	199006.06
2026-09-02	0	1	3	450.00
2026-09-02	0	2	5	549.00
2026-09-02	0	3	2	340.00
2026-09-02	0	4	2	266.00
2026-09-02	0	5	2	266.00
2026-09-02	0	6	1813	219632.22
2026-09-02	1	1	232	31999.47
2026-09-02	1	2	490	66724.84
2026-09-02	1	3	589	79558.18
2026-09-02	1	4	713	96850.77
2026-09-02	1	5	565	77422.08
2026-09-02	1	6	1435	199156.06
2026-09-03	0	1	3	450.00
2026-09-03	0	2	5	549.00
2026-09-03	0	3	2	340.00
2026-09-03	0	4	2	266.00
2026-09-03	0	5	2	266.00
2026-09-03	0	6	1813	219632.22
2026-09-03	1	1	269	35525.57
2026-09-03	1	2	484	65978.89
2026-09-03	1	3	525	70360.28
2026-09-03	1	4	772	105563.67
2026-09-03	1	5	565	77422.08
2026-09-03	1	6	1435	199156.06
2026-09-04	0	2	7	943.00
2026-09-04	0	3	3	396.00
2026-09-04	0	4	2	266.00
2026-09-04	0	5	1	56.00
2026-09-04	0	6	1814	219842.22
2026-09-04	1	1	162	18959.65
2026-09-04	1	2	509	72569.47
2026-09-04	1	3	632	82847.41
2026-09-04	1	4	773	105771.87
2026-09-04	1	5	544	74323.08
2026-09-04	1	6	1456	202255.06
2026-09-05	0	2	6	862.00
2026-09-05	0	3	3	267.00
2026-09-05	0	4	2	266.00
2026-09-05	0	5	2	266.00
2026-09-05	0	6	1814	219842.22
2026-09-05	1	1	103	11769.07
2026-09-05	1	2	267	37531.30
2026-09-05	1	3	908	121816.01
2026-09-05	1	4	783	107309.38
2026-09-05	1	5	579	79032.08
2026-09-05	1	6	1456	202248.06
2026-09-06	0	2	5	762.00
2026-09-06	0	3	3	237.00
2026-09-06	0	4	2	266.00
2026-09-06	0	5	2	266.00
2026-09-06	0	6	1814	219842.22
2026-09-06	1	1	177	21425.87
2026-09-06	1	2	291	38940.07
2026-09-06	1	3	915	123490.74
2026-09-06	1	4	776	106451.38
2026-09-06	1	5	595	80842.08
2026-09-06	1	6	1456	202108.06
2026-09-07	0	2	4	590.00
2026-09-07	0	3	4	409.00
2026-09-07	0	4	2	266.00
2026-09-07	0	5	2	266.00
2026-09-07	0	6	1814	219842.22
2026-09-07	1	1	145	17834.91
2026-09-07	1	2	291	38407.60
2026-09-07	1	3	907	122618.20
2026-09-07	1	4	795	108827.50
2026-09-07	1	5	581	79349.82
2026-09-07	1	6	1477	204631.32
2026-09-08	0	1	1	210.00
2026-09-08	0	2	4	590.00
2026-09-08	0	3	4	409.00
2026-09-08	0	4	2	266.00
2026-09-08	0	5	2	266.00
2026-09-08	0	6	1814	219842.22
2026-09-08	1	1	286	35883.25
2026-09-08	1	2	307	40083.38
2026-09-08	1	3	900	121672.90
2026-09-08	1	4	793	108379.50
2026-09-08	1	5	581	79349.82
2026-09-08	1	6	1478	204899.32
2026-09-09	0	2	3	450.00
2026-09-09	0	3	5	549.00
2026-09-09	0	4	1	56.00
2026-09-09	0	5	1	56.00
2026-09-09	0	6	1813	219632.22
2026-09-09	1	1	245	30219.72
2026-09-09	1	2	389	50117.24
2026-09-09	1	3	897	121025.90
2026-09-09	1	4	724	98750.59
2026-09-09	1	5	602	81977.52
2026-09-09	1	6	1526	211860.53
2026-09-10	0	2	3	450.00
2026-09-10	0	3	5	549.00
2026-09-10	0	4	1	56.00
2026-09-10	0	5	1	56.00
2026-09-10	0	6	1813	219632.22
2026-09-10	1	1	235	29276.36
2026-09-10	1	2	410	52472.45
2026-09-10	1	3	798	105539.18
2026-09-10	1	4	824	114501.31
2026-09-10	1	5	596	81067.52
2026-09-10	1	6	1532	212770.53
