d	n	loans	amt	prin	pen	adv	bog	tbc	tbcpay	other
2026-08-31	229	223	29030.60	25120.29	2800.31	1110.00	17804.56	8045.54	1180.50	2000.00
2026-09-01	265	253	34959.22	32977.25	1981.97	0.00	24661.26	8229.00	1988.96	80.00
2026-09-02	145	140	21082.90	20552.59	530.31	0.00	13410.54	5155.00	1541.36	976.00
2026-09-03	139	134	16119.01	15620.40	498.61	0.00	11059.00	4469.00	591.01	0.00
2026-09-04	144	144	17304.07	15930.87	1313.20	30.00	10501.00	5705.00	1098.07	0.00
2026-09-05	161	159	17692.16	16580.73	291.43	410.00	10903.00	5710.50	1058.66	20.00
2026-09-06	72	72	8981.50	8420.46	161.04	200.00	4882.00	3261.00	838.50	0.00
2026-09-07	198	198	21921.60	20386.33	467.27	534.00	13917.00	7412.00	592.60	0.00
2026-09-08	149	147	15517.80	14184.77	391.03	471.00	10071.50	5031.00	395.30	20.00
2026-09-09	116	114	16982.01	16058.54	263.47	330.00	11825.01	4561.00	436.00	160.00
2026-09-10	385	377	44399.71	41070.83	508.88	1410.00	24099.07	17246.00	2780.64	274.00
2026-09-11	178	174	20761.40	17821.33	560.07	1190.00	13580.00	6051.00	610.40	520.00
2026-09-12	154	152	17653.03	15823.78	269.25	780.00	11042.89	6241.14	369.00	0.00
2026-09-13	120	119	14977.00	8466.28	150.72	3180.00	8819.00	6078.00	80.00	0.00
2026-09-14	142	140	14762.15	11903.22	256.93	1301.00	9465.62	4894.00	402.53	0.00
