m	n	loans	amt	prin	pen	adv	bog	tbc	tbcpay	other
2023-01	863	806	103530.51	83274.25	3023.10	17230.00	27592.84	59267.67	0.00	16670.00
2023-02	985	895	118796.01	99569.78	3326.23	15900.00	41563.46	62449.55	0.00	14783.00
2023-03	1057	981	130488.12	104307.09	3030.03	23151.00	46465.06	62682.06	0.00	21341.00
2023-04	1086	1005	126787.66	104640.18	2957.48	19190.00	42946.34	64233.76	1097.56	18510.00
2023-05	1156	1060	140135.42	115353.01	3147.41	21635.00	53646.08	62857.75	2001.59	21630.00
2023-06	1218	1115	142626.79	114848.13	2878.66	24900.00	52161.00	59438.55	6127.24	24900.00
2023-07	1307	1194	149077.05	126240.22	2586.83	20250.00	67349.00	56908.77	4569.28	20250.00
2023-08	1306	1201	150304.54	124252.45	3113.09	22939.00	67661.70	55421.27	4282.57	22939.00
2023-09	1385	1274	160885.26	135045.41	4319.85	21520.00	74317.64	58764.39	5583.23	22220.00
2023-10	1445	1324	167061.35	141251.24	3004.11	22806.00	79203.49	59631.50	5420.36	22806.00
2023-11	1479	1368	177510.36	149365.78	2853.58	25291.00	84313.00	62713.00	5423.36	25061.00
2023-12	1653	1474	184984.68	157425.91	3273.77	24285.00	83867.70	70932.30	5989.68	24195.00
2024-01	1525	1410	171073.17	153549.50	3000.37	14435.00	82651.65	68266.50	5631.72	14523.30
2024-02	1562	1458	175104.15	153614.91	3545.24	17931.00	84441.00	66768.00	5966.15	17929.00
2024-03	1711	1551	191745.92	163537.04	4091.88	24117.00	95293.81	66274.09	6060.02	24118.00
2024-04	1722	1572	201494.33	168051.27	3894.56	29548.50	95547.00	71515.50	4765.33	29666.50
2024-05	1746	1590	201765.17	171016.35	4456.82	26292.00	99648.68	70195.81	4727.04	27193.64
2024-06	1715	1596	204004.25	172909.60	2603.65	28491.00	100239.68	68942.50	5688.07	29134.00
2024-07	1810	1664	208542.28	179195.13	4754.15	24593.00	106880.08	70438.36	6840.84	24383.00
2024-08	1764	1645	209208.45	180075.04	3688.41	25445.00	105699.30	70623.43	8050.72	24835.00
2024-09	1797	1668	206932.80	177993.72	4697.08	24242.00	106224.91	68383.79	8624.10	23700.00
2024-10	1933	1768	227997.87	192063.62	5049.25	30885.00	112207.07	75803.77	9377.03	30610.00
2024-11	1984	1846	234163.89	195417.27	3666.62	35080.00	112207.79	75961.60	10656.50	35338.00
2024-12	2151	1953	257435.84	219073.16	5952.48	32410.20	132034.32	82105.44	10886.88	32409.20
2025-01	2124	1977	245813.06	211259.59	8152.27	26980.00	129060.96	78727.12	11044.98	26980.00
2025-02	2180	2025	254425.29	217497.99	4844.30	32083.00	130246.15	81156.86	11059.28	31963.00
2025-03	2257	2083	274880.12	240239.55	7660.57	26980.00	144552.56	88387.86	14618.70	27321.00
2025-04	2189	2029	256187.42	223964.19	6644.23	25579.00	136801.92	82059.42	11962.08	25364.00
2025-05	2202	2034	261980.86	228645.87	7159.99	26175.00	142595.37	82327.35	10828.14	26230.00
2025-06	2223	2048	269189.13	233109.91	6388.22	29691.00	142720.09	85276.59	11631.45	29561.00
2025-07	2396	2176	291930.68	244872.06	8589.62	38469.00	154474.07	87224.42	11823.19	38409.00
2025-08	2202	2053	268319.92	240234.08	7490.84	20595.00	143440.56	90367.10	14027.26	20485.00
2025-09	2256	2066	270313.28	235799.60	6738.68	27775.00	138908.24	89979.97	13650.07	27775.00
2025-10	2231	2052	274644.11	240657.48	7923.63	26063.00	150875.70	85784.50	12340.91	25643.00
2025-11	2327	2128	260079.57	233105.39	5929.18	21045.00	144546.74	83261.74	11536.09	20735.00
2025-12	2798	2501	301267.83	265968.13	11914.70	23385.00	164405.58	98554.88	14471.37	23836.00
2026-01	3009	2706	325410.66	291378.22	8509.44	25523.00	182969.06	104053.55	12917.05	25471.00
2026-02	3144	2881	350950.89	302808.60	7186.29	40956.00	202301.04	92266.55	14300.30	42083.00
2026-03	4186	3568	470190.29	411434.74	11232.55	47523.00	257253.05	142275.08	20442.16	50220.00
2026-04	4350	3892	493101.77	438734.76	16019.01	38348.00	281863.51	150551.75	18206.51	42480.00
2026-05	4763	4329	520720.53	461446.51	14473.02	44801.00	301657.27	150610.47	18165.79	50287.00
2026-06	5625	5096	587749.24	522571.21	14516.03	50662.00	332730.66	180106.69	21874.89	53037.00
2026-07	6220	5593	679633.86	622994.83	17821.03	38818.00	401970.11	210090.31	25625.44	41948.00
2026-08	6342	5767	749880.26	695690.31	17138.95	37051.00	442951.10	229859.27	32357.89	44712.00
2026-09	1336	1283	163741.26	156165.12	5946.14	815.00	107400.30	46644.50	8440.46	1256.00
