dim	val	all_c	active_c	loan_c
age	NULL	1720	220	548
age	1:< 18	5	1	1
age	2:18 - 24	2766	296	401
age	3:25 - 34	12555	1912	2706
age	4:35 - 44	10115	1911	2936
age	5:45 - 59	5802	1164	2118
age	6:60+	1759	232	526
city	NULL	469	8	344
city	Other cities	5260	780	942
city	ბათუმი	2359	351	415
city	გარდაბანი	323	47	75
city	გორი	847	117	136
city	გურჯაანი	277	37	55
city	ზუგდიდი	884	122	149
city	თბილისი	19095	3483	6071
city	მცხეთა	502	78	161
city	ოზურგეთი	371	50	59
city	რუსთავი	1366	237	311
city	სამტრედია	284	37	48
city	სენაკი	262	42	49
city	ფოთი	480	77	88
city	ქობულეთი	390	52	64
city	ქუთაისი	1221	167	201
city	ხაშური	332	51	68
emp	NULL	21892	2608	5932
emp	Not specified	4	0	0
emp	Private sector	5624	1511	1599
emp	Public sector	2369	726	770
emp	Self-employed	4232	747	785
emp	Unemployed	601	144	150
gender	NULL	594	38	160
gender	Female	19617	3979	6560
gender	Male	14511	1719	2516
pos	NULL	9267	1004	3104
pos	Other	18485	3529	4591
pos	ადმინისტრატორი	294	79	95
pos	გამყიდველი	249	37	45
pos	დამლაგებელი	252	38	45
pos	დიასახლისი	653	123	176
pos	დირექტორი	214	56	81
pos	კონსულტანტი	294	69	87
pos	კურიერი	291	31	39
pos	მენეჯერი	792	211	256
pos	მზარეული	411	82	111
pos	მოლარე	711	150	184
pos	მუშა	337	17	20
pos	მძღოლი	632	67	92
pos	ოპერატორი	413	77	95
pos	ძიძა	592	96	131
pos	ხელოსანი	835	70	84
rating	NULL	30741	4610	5339
rating	1	258	3	248
rating	2	130	13	130
rating	3	198	29	168
rating	4	1283	419	1263
rating	5	2112	662	2088
risk	NULL	27279	22	1917
risk	High	661	251	656
risk	Low	425	128	423
risk	Medium	6357	5335	6240
sal	NULL	21895	2613	5937
sal	0:0 (no salary)	16	4	4
sal	1:< 500	124	14	17
sal	2:500 - 999	1051	253	275
sal	3:1,000 - 1,999	5073	1315	1389
sal	4:2,000 - 2,999	3422	787	820
sal	5:3,000 - 4,999	2295	511	547
sal	6:5,000+	839	238	246
sal	7:Not specified	7	1	1
soc	NULL	23300	2949	6297
soc	Housewife	4128	1126	1187
soc	None of these	5370	1330	1399
soc	Pensioner	457	88	95
soc	Student	1467	243	258
src	NULL	21840	2590	5913
src	Facebook	7403	1413	1453
src	Friend / family recommendation	2513	562	579
src	Google	110	24	25
src	Instagram	987	171	172
src	Other	367	81	87
src	Outdoor banner	12	1	1
src	TikTok	522	123	126
src	Used Volta before	968	771	880
