dim	val	m	n
age	NULL	2024-01	26
age	NULL	2024-02	9
age	NULL	2024-03	16
age	NULL	2024-04	12
age	NULL	2024-05	8
age	NULL	2024-06	7
age	NULL	2024-07	8
age	NULL	2024-08	2
age	NULL	2024-09	6
age	NULL	2024-10	3
age	NULL	2024-11	11
age	NULL	2024-12	10
age	NULL	2025-01	6
age	NULL	2025-02	5
age	NULL	2025-03	6
age	NULL	2025-04	5
age	NULL	2025-05	3
age	NULL	2025-06	4
age	NULL	2025-07	6
age	NULL	2025-08	7
age	NULL	2025-09	2
age	NULL	2025-10	1
age	NULL	2025-11	5
age	NULL	2025-12	7
age	NULL	2026-01	16
age	NULL	2026-02	23
age	NULL	2026-03	397
age	NULL	2026-04	189
age	NULL	2026-05	219
age	NULL	2026-06	454
age	NULL	2026-07	362
age	NULL	2026-08	269
age	NULL	2026-09	179
age	1:< 18	2024-03	1
age	1:< 18	2024-09	2
age	1:< 18	2024-10	2
age	1:< 18	2024-11	1
age	1:< 18	2024-12	1
age	1:< 18	2025-01	1
age	1:< 18	2025-06	1
age	1:< 18	2025-12	2
age	1:< 18	2026-02	2
age	1:< 18	2026-04	6
age	1:< 18	2026-06	2
age	2:18 - 24	2024-01	30
age	2:18 - 24	2024-02	60
age	2:18 - 24	2024-03	103
age	2:18 - 24	2024-04	86
age	2:18 - 24	2024-05	78
age	2:18 - 24	2024-06	61
age	2:18 - 24	2024-07	74
age	2:18 - 24	2024-08	63
age	2:18 - 24	2024-09	126
age	2:18 - 24	2024-10	187
age	2:18 - 24	2024-11	377
age	2:18 - 24	2024-12	211
age	2:18 - 24	2025-01	312
age	2:18 - 24	2025-02	229
age	2:18 - 24	2025-03	159
age	2:18 - 24	2025-04	76
age	2:18 - 24	2025-05	103
age	2:18 - 24	2025-06	87
age	2:18 - 24	2025-07	117
age	2:18 - 24	2025-08	63
age	2:18 - 24	2025-09	73
age	2:18 - 24	2025-10	105
age	2:18 - 24	2025-11	177
age	2:18 - 24	2025-12	265
age	2:18 - 24	2026-01	228
age	2:18 - 24	2026-02	246
age	2:18 - 24	2026-03	199
age	2:18 - 24	2026-04	238
age	2:18 - 24	2026-05	196
age	2:18 - 24	2026-06	347
age	2:18 - 24	2026-07	376
age	2:18 - 24	2026-08	228
age	2:18 - 24	2026-09	73
age	3:25 - 34	2024-01	175
age	3:25 - 34	2024-02	184
age	3:25 - 34	2024-03	324
age	3:25 - 34	2024-04	290
age	3:25 - 34	2024-05	257
age	3:25 - 34	2024-06	269
age	3:25 - 34	2024-07	232
age	3:25 - 34	2024-08	246
age	3:25 - 34	2024-09	343
age	3:25 - 34	2024-10	491
age	3:25 - 34	2024-11	952
age	3:25 - 34	2024-12	490
age	3:25 - 34	2025-01	763
age	3:25 - 34	2025-02	573
age	3:25 - 34	2025-03	415
age	3:25 - 34	2025-04	269
age	3:25 - 34	2025-05	243
age	3:25 - 34	2025-06	298
age	3:25 - 34	2025-07	387
age	3:25 - 34	2025-08	168
age	3:25 - 34	2025-09	345
age	3:25 - 34	2025-10	379
age	3:25 - 34	2025-11	614
age	3:25 - 34	2025-12	786
age	3:25 - 34	2026-01	689
age	3:25 - 34	2026-02	787
age	3:25 - 34	2026-03	738
age	3:25 - 34	2026-04	1073
age	3:25 - 34	2026-05	1330
age	3:25 - 34	2026-06	2155
age	3:25 - 34	2026-07	1849
age	3:25 - 34	2026-08	1390
age	3:25 - 34	2026-09	470
age	4:35 - 44	2024-01	165
age	4:35 - 44	2024-02	192
age	4:35 - 44	2024-03	255
age	4:35 - 44	2024-04	264
age	4:35 - 44	2024-05	209
age	4:35 - 44	2024-06	288
age	4:35 - 44	2024-07	245
age	4:35 - 44	2024-08	240
age	4:35 - 44	2024-09	227
age	4:35 - 44	2024-10	315
age	4:35 - 44	2024-11	511
age	4:35 - 44	2024-12	328
age	4:35 - 44	2025-01	492
age	4:35 - 44	2025-02	417
age	4:35 - 44	2025-03	319
age	4:35 - 44	2025-04	180
age	4:35 - 44	2025-05	232
age	4:35 - 44	2025-06	286
age	4:35 - 44	2025-07	392
age	4:35 - 44	2025-08	146
age	4:35 - 44	2025-09	328
age	4:35 - 44	2025-10	335
age	4:35 - 44	2025-11	493
age	4:35 - 44	2025-12	820
age	4:35 - 44	2026-01	549
age	4:35 - 44	2026-02	675
age	4:35 - 44	2026-03	659
age	4:35 - 44	2026-04	805
age	4:35 - 44	2026-05	924
age	4:35 - 44	2026-06	1326
age	4:35 - 44	2026-07	1216
age	4:35 - 44	2026-08	1007
age	4:35 - 44	2026-09	332
age	5:45 - 59	2024-01	103
age	5:45 - 59	2024-02	103
age	5:45 - 59	2024-03	182
age	5:45 - 59	2024-04	192
age	5:45 - 59	2024-05	158
age	5:45 - 59	2024-06	210
age	5:45 - 59	2024-07	173
age	5:45 - 59	2024-08	167
age	5:45 - 59	2024-09	129
age	5:45 - 59	2024-10	220
age	5:45 - 59	2024-11	267
age	5:45 - 59	2024-12	181
age	5:45 - 59	2025-01	227
age	5:45 - 59	2025-02	200
age	5:45 - 59	2025-03	202
age	5:45 - 59	2025-04	120
age	5:45 - 59	2025-05	160
age	5:45 - 59	2025-06	176
age	5:45 - 59	2025-07	247
age	5:45 - 59	2025-08	100
age	5:45 - 59	2025-09	214
age	5:45 - 59	2025-10	187
age	5:45 - 59	2025-11	288
age	5:45 - 59	2025-12	510
age	5:45 - 59	2026-01	309
age	5:45 - 59	2026-02	397
