m	st	uw16	cmt	reason	n
2026-01	5	0	0		128
2026-01	5	1	1		413
2026-01	6	0	0	გადახდისუუნარო	3
2026-01	6	0	0	დასაფარია მიმდინარე	15
2026-01	6	0	0	დუბლირებული განაცხადი	10
2026-01	6	0	0	კლიენტის უარი	235
2026-01	6	0	0	მოვალეთა რეესტრი	229
2026-01	6	0	0	შეუსაბამო მონაცემები	18
2026-01	6	0	0	ხიშნიკი (NO SMS)	8
2026-01	6	0	1	გადახდისუუნარო	79
2026-01	6	0	1	დასაფარია მიმდინარე	70
2026-01	6	0	1	ვერ ვუკავშირდები	71
2026-01	6	0	1	კლიენტის უარი	4
2026-01	6	0	1	მოვალეთა რეესტრი	42
2026-01	6	0	1	პროდუქციის არ ქონა	11
2026-01	6	0	1	შეუსაბამო მონაცემები	256
2026-01	6	0	1	ხიშნიკი (NO SMS)	48
2026-01	6	1	1	კლიენტის უარი	29
2026-01	12	0	0	არ მპასუხობს	4
2026-01	12	0	0	აღარ არის დაინტერესებული	10
2026-01	12	0	0	მაღალი ფასი	7
2026-01	12	0	0	სხვა	13
2026-01	12	0	1	აღარ არის დაინტერესებული	3
2026-01	12	0	1	მაღალი ფასი	1
2026-01	12	1	1	ავანსი	1
2026-01	12	1	1	აღარ არის დაინტერესებული	18
2026-01	12	1	1	სხვა	7
2026-01	13	0	0		4
2026-01	14	0	0		102
2026-01	14	1	1		2
2026-01	17	0	0		10
2026-01	99	0	0		7
2026-02	5	1	1		600
2026-02	6	0	0	დუბლირებული განაცხადი	13
2026-02	6	0	0	მოვალეთა რეესტრი	249
2026-02	6	0	0	ხიშნიკი (NO SMS)	1
2026-02	6	0	1		8
2026-02	6	0	1	გადახდისუუნარო	44
2026-02	6	0	1	დასაფარია მიმდინარე	120
2026-02	6	0	1	ვერ ვუკავშირდები	102
2026-02	6	0	1	მოვალეთა რეესტრი	41
2026-02	6	0	1	პროდუქციის არ ქონა	24
2026-02	6	0	1	შეუსაბამო მონაცემები	562
2026-02	6	0	1	ხიშნიკი (NO SMS)	94
2026-02	12	0	0	ავანსი	13
2026-02	12	0	0	აღარ არის დაინტერესებული	69
2026-02	12	0	0	კლიენტის უარი	1
2026-02	12	0	0	მაღალი ფასი	35
2026-02	12	0	0	მიტანის საფასური	1
2026-02	12	0	0	სხვა	96
2026-02	12	0	1	აღარ არის დაინტერესებული	2
2026-02	12	0	1	მაღალი ფასი	1
2026-02	12	0	1	სხვა	2
2026-02	12	1	1	ავანსი	7
2026-02	12	1	1	აღარ არის დაინტერესებული	71
2026-02	12	1	1	მაღალი ფასი	6
2026-02	12	1	1	მიტანის საფასური	1
2026-02	12	1	1	სხვა	25
2026-02	13	0	0		13
2026-02	17	0	0		9
2026-02	17	0	1		7
2026-02	17	1	1		1
2026-02	99	0	0		13
2026-03	5	1	1		755
2026-03	6	0	0	დუბლირებული განაცხადი	19
2026-03	6	0	0	მოვალეთა რეესტრი	242
2026-03	6	0	0	ხიშნიკი	1
2026-03	6	0	0	ხიშნიკი (NO SMS)	33
2026-03	6	0	1		12
2026-03	6	0	1	გადახდისუუნარო	115
2026-03	6	0	1	დასაფარია მიმდინარე	149
2026-03	6	0	1	დუბლირებული განაცხადი	35
2026-03	6	0	1	ვერ ვუკავშირდები	86
2026-03	6	0	1	მოვალეთა რეესტრი	45
2026-03	6	0	1	პროდუქციის არ ქონა	7
2026-03	6	0	1	უარი განვადებაზე	1
2026-03	6	0	1	შეუსაბამო მონაცემები	466
2026-03	6	0	1	ხიშნიკი (NO SMS)	122
2026-03	12	0	0	ავანსი	17
2026-03	12	0	0	არ მპასუხობს	1
2026-03	12	0	0	აღარ არის დაინტერესებული	87
2026-03	12	0	0	კლიენტის უარი	6
2026-03	12	0	0	მაღალი ფასი	39
2026-03	12	0	0	სხვა	146
2026-03	12	0	1	აღარ არის დაინტერესებული	5
2026-03	12	0	1	სხვა	7
2026-03	12	1	1	ავანსი	1
2026-03	12	1	1	აღარ არის დაინტერესებული	92
2026-03	12	1	1	მაღალი ფასი	10
2026-03	12	1	1	სხვა	42
2026-03	13	0	0		16
2026-03	17	0	0		8
2026-03	99	0	0		10
2026-04	3	0	0		4
2026-04	5	1	1		685
2026-04	6	0	0	დუბლირებული განაცხადი	2
2026-04	6	0	0	ხიშნიკი (NO SMS)	36
2026-04	6	0	1		22
2026-04	6	0	1	გადახდისუუნარო	133
2026-04	6	0	1	დასაფარია მიმდინარე	137
2026-04	6	0	1	დუბლირებული განაცხადი	142
2026-04	6	0	1	ვერ ვუკავშირდები	168
2026-04	6	0	1	მოვალეთა რეესტრი	390
2026-04	6	0	1	პროდუქციის არ ქონა	17
2026-04	6	0	1	შეუსაბამო მონაცემები	493
2026-04	6	0	1	ხიშნიკი (NO SMS)	103
2026-04	12	0	0	ავანსი	18
2026-04	12	0	0	აღარ არის დაინტერესებული	177
2026-04	12	0	0	მაღალი ფასი	63
2026-04	12	0	0	სხვა	102
2026-04	12	0	1	ავანსი	1
2026-04	12	0	1	აღარ არის დაინტერესებული	3
2026-04	12	0	1	მაღალი ფასი	1
2026-04	12	1	1	ავანსი	1
2026-04	12	1	1	აღარ არის დაინტერესებული	90
2026-04	12	1	1	მაღალი ფასი	5
2026-04	12	1	1	სხვა	31
2026-04	13	0	0		5
2026-04	17	0	0		6
2026-04	99	0	0		6
2026-05	5	0	1		1
2026-05	5	1	1		840
2026-05	6	0	0	ხიშნიკი (NO SMS)	36
2026-05	6	0	1		34
2026-05	6	0	1	გადახდისუუნარო	140
2026-05	6	0	1	დასაფარია მიმდინარე	146
2026-05	6	0	1	დუბლირებული განაცხადი	111
2026-05	6	0	1	ვერ ვუკავშირდები	173
2026-05	6	0	1	მოვალეთა რეესტრი	426
2026-05	6	0	1	პროდუქციის არ ქონა	15
2026-05	6	0	1	უარი განვადებაზე	5
2026-05	6	0	1	შეუსაბამო მონაცემები	560
