order_id	product_id	not_delivered
15716	21870	1
15716	28155	1
15722	3748	0
15723	2163	0
15723	1324	0
15723	40502	0
15725	50218	0
15726	342	0
15738	1471	1
55359	1646	1
55365	142265	1
55370	814	0
55375	142265	0
55376	876	1
55379	1731	1
55386	847	1
55387	3745	1
55391	39054	1
55391	39324	1
55396	38739	1
55396	39587	1
55415	242	1
55423	2160	1
55430	72870	1
55430	72389	1
55430	73079	1
55433	38557	1
55434	242	1
55445	34359	1
55448	2127	0
55449	3488	0
55450	356	1
55458	1059	1
55467	2514	1
55468	2141	1
55490	915	1
55490	19149	1
55497	58088	1
55504	58369	1
55532	142265	1
55541	40659	0
55541	210	0
55557	41546	1
55557	1776	1
55573	800	0
55573	913	0
55599	39707	1
55604	1975	1
55614	1682	1
55617	500	1
55628	142260	1
55639	927	1
55641	249	1
55649	142300	1
55652	142264	1
55669	249	1
55672	57491	0
55678	70301	1
55683	57552	1
55684	142301	1
55694	259	1
55695	142262	1
55701	2013	1
55703	142302	1
55706	19091	1
55706	459	1
55712	799	1
55728	238	1
55728	38646	1
55730	2127	1
55732	142298	1
55737	39709	1
55742	2161	1
55748	500	1
55750	1994	1
55754	2543	1
55758	437	1
55763	2434	1
55774	888	1
55775	900	1
55792	1975	1
55795	608	1
55818	434	1
55819	39776	1
55829	927	1
55830	142265	1
55834	1806	1
55844	1472	1
55858	2271	1
55862	142262	1
55871	142296	1
55877	2554	1
55880	147	1
55883	41549	1
55883	1773	1
55883	161	1
55883	1893	1
55883	19090	1
55885	1796	1
55896	68727	1
55897	747	1
55906	849	1
55909	269	1
55909	1184	1
55914	798	1
55921	1374	1
55930	932	1
55932	2145	1
55940	1471	1
55942	142265	1
55953	1066	1
55954	2182	1
55962	1086	1
55966	24438	1
55988	71606	1
55991	1086	1
56004	932	1
56007	2160	1
56027	64146	1
56036	38978	1
56036	2163	1
56048	660	1
56048	19087	1
56074	684	1
56114	71613	1
56114	2547	1
56123	1472	1
56123	40211	1
56133	921	1
56141	3745	1
56159	862	1
56161	1190	1
56174	789	1
56174	41444	1
56185	1566	1
56185	648	1
56204	1663	1
56223	66358	1
56223	67403	1
56223	2128	1
56241	932	1
56254	40245	1
56265	1994	1
56288	142259	1
56343	1086	1
