order_id	entered	delivered_at	city_grp	top_product_id
14555	2026-09-04 07:52:44.955	NULL	Tbilisi	1985
15496	2026-09-03 15:27:22.928	NULL	Tbilisi	45909
15603	2026-09-04 07:03:33.603	NULL	Other Cities	70313
15687	2026-09-03 15:11:38.928	NULL	Other Cities	774
15699	2026-09-03 11:22:04.144	2026-09-07 13:39:58.696	Tbilisi	142308
15716	2026-09-03 11:32:45.223	NULL	Other Cities	28155
15722	2026-09-03 08:28:32.808	2026-09-07 09:48:16.644	Other Cities	3748
15723	2026-09-03 07:06:04.685	2026-09-07 09:47:51.882	Tbilisi	2163
15725	2026-09-03 07:50:12.674	2026-09-04 13:24:58.377	Other Cities	50218
15726	2026-09-02 14:12:35.436	2026-09-03 13:50:24.319	Other Cities	342
15738	2026-09-04 14:12:10.502	NULL	Tbilisi	1471
55309	2026-09-03 15:13:36.197	2026-09-07 09:47:37.303	Tbilisi	138
55318	2026-09-04 06:51:49.151	2026-09-08 08:31:30.579	Other Cities	2489
55337	2026-09-03 11:49:53.714	NULL	Other Cities	38485
55359	2026-09-03 13:54:15.785	NULL	Tbilisi	1646
55365	2026-09-05 08:48:12.377	NULL	Other Cities	142265
55370	2026-09-03 10:11:39.962	2026-09-07 10:02:29.999	Tbilisi	814
55375	2026-09-03 08:17:33.270	2026-09-07 10:02:16.167	Tbilisi	142265
55376	2026-09-07 07:47:52.355	NULL	Tbilisi	876
55379	2026-09-04 12:07:43.458	NULL	Other Cities	1731
55386	2026-09-04 11:53:54.944	NULL	Other Cities	847
55387	2026-09-05 09:04:28.558	NULL	Tbilisi	3745
55391	2026-09-03 09:07:25.147	NULL	Other Cities	39324
55396	2026-09-05 06:46:40.625	NULL	Tbilisi	38739
55415	2026-09-04 12:10:05.257	NULL	Tbilisi	242
55423	2026-09-05 06:46:56.013	NULL	Tbilisi	2160
55430	2026-09-08 08:30:51.150	NULL	Without City	72870
55433	2026-09-03 08:28:08.513	NULL	Other Cities	38557
55434	2026-09-04 12:32:47.063	NULL	Tbilisi	242
55445	2026-09-03 09:29:54.219	NULL	Tbilisi	34359
55448	2026-09-02 11:45:02.442	2026-09-04 08:14:00.454	Without City	2127
55449	2026-09-03 11:02:32.753	2026-09-07 09:47:29.010	Tbilisi	3488
55450	2026-09-04 12:52:48.618	NULL	Tbilisi	356
55458	2026-09-05 07:04:25.836	NULL	Tbilisi	1059
55467	2026-09-07 10:24:04.406	NULL	Other Cities	2514
55468	2026-09-04 09:55:43.410	NULL	Tbilisi	2141
55490	2026-09-05 06:37:04.272	NULL	Tbilisi	915
55497	2026-09-03 15:16:00.922	NULL	Tbilisi	58088
55504	2026-09-04 06:41:59.578	NULL	Tbilisi	58369
55532	2026-09-02 11:59:45.909	NULL	Without City	142265
55541	2026-09-03 13:09:21.737	2026-09-07 10:01:55.344	Tbilisi	40659
55557	2026-09-03 07:01:45.081	NULL	Other Cities	41546
55573	2026-09-03 14:03:02.259	2026-09-07 10:01:37.553	Tbilisi	913
55599	2026-09-03 15:10:34.037	NULL	Tbilisi	39707
55604	2026-09-04 08:08:41.628	NULL	Tbilisi	1975
55614	2026-09-04 08:18:51.969	NULL	Other Cities	1682
55617	2026-09-04 13:55:52.214	NULL	Other Cities	500
55628	2026-09-05 11:49:59.128	NULL	Tbilisi	142260
55639	2026-09-04 07:55:56.732	NULL	Other Cities	927
55641	2026-09-05 13:50:19.041	NULL	Tbilisi	249
55649	2026-09-04 07:17:49.381	NULL	Tbilisi	142300
55652	2026-09-04 10:44:03.684	NULL	Tbilisi	142264
55669	2026-09-07 09:42:15.915	NULL	Other Cities	249
55672	2026-09-04 09:35:24.238	2026-09-08 08:37:12.472	Tbilisi	57491
55678	2026-09-07 14:09:30.812	NULL	Without City	70301
55683	2026-09-04 11:31:46.158	NULL	Other Cities	57552
55684	2026-09-04 11:33:19.383	NULL	Without City	142301
55694	2026-09-04 07:46:55.693	NULL	Without City	259
55695	2026-09-07 06:55:54.850	NULL	Tbilisi	142262
55701	2026-09-04 08:28:03.803	NULL	Without City	2013
55703	2026-09-04 14:08:11.896	NULL	Other Cities	142302
55706	2026-09-05 07:19:19.387	NULL	Tbilisi	459
55712	2026-09-03 13:40:52.916	NULL	Without City	799
55728	2026-09-04 14:09:03.280	NULL	Other Cities	38646
55730	2026-09-04 11:10:29.367	NULL	Tbilisi	2127
55732	2026-09-04 12:05:54.566	NULL	Tbilisi	142298
55737	2026-09-05 11:00:57.280	NULL	Without City	39709
55742	2026-09-05 07:02:11.903	NULL	Tbilisi	2161
55748	2026-09-04 11:41:25.545	NULL	Tbilisi	500
55750	2026-09-04 11:44:52.550	NULL	Other Cities	1994
55754	2026-09-04 11:32:57.734	NULL	Tbilisi	2543
55758	2026-09-05 09:34:44.756	NULL	Other Cities	437
55763	2026-09-04 13:16:03.714	NULL	Tbilisi	2434
55774	2026-09-05 06:23:03.581	NULL	Other Cities	888
55775	2026-09-07 09:45:26.176	NULL	Tbilisi	900
55792	2026-09-04 13:16:19.786	NULL	Tbilisi	1975
55795	2026-09-05 09:45:17.232	NULL	Tbilisi	608
55818	2026-09-04 13:58:54.574	NULL	Without City	434
55819	2026-09-05 12:38:40.495	NULL	Other Cities	39776
55829	2026-09-04 13:36:58.008	NULL	Tbilisi	927
55830	2026-09-07 07:13:29.011	NULL	Without City	142265
55834	2026-09-05 11:39:17.586	NULL	Tbilisi	1806
55838	2026-09-08 11:37:34.369	NULL	Tbilisi	1647
55844	2026-09-07 13:15:47.337	NULL	Tbilisi	1472
55858	2026-09-05 11:15:50.588	NULL	Tbilisi	2271
55862	2026-09-05 11:31:43.180	NULL	Other Cities	142262
55871	2026-09-04 12:16:05.317	NULL	Without City	142296
55877	2026-09-05 09:37:54.176	NULL	Tbilisi	2554
55880	2026-09-04 12:36:30.559	NULL	Without City	147
55883	2026-09-08 08:50:50.825	NULL	Without City	41549
55885	2026-09-05 14:28:41.388	NULL	Tbilisi	1796
55896	2026-09-05 10:09:24.176	NULL	Other Cities	68727
55897	2026-09-07 11:02:36.271	NULL	Without City	747
55906	2026-09-07 06:43:42.355	NULL	Tbilisi	849
55909	2026-09-07 13:21:38.539	NULL	Tbilisi	269
55914	2026-09-05 11:55:37.981	NULL	Tbilisi	798
55920	2026-09-05 11:59:53.862	NULL	Tbilisi	1883
55921	2026-09-07 14:09:08.536	NULL	Tbilisi	1374
55930	2026-09-05 13:51:38.135	NULL	Tbilisi	932
55932	2026-09-05 12:52:52.936	NULL	Tbilisi	2145
55940	2026-09-07 14:50:43.794	NULL	Tbilisi	1471
55942	2026-09-05 11:22:53.730	NULL	Without City	142265
55953	2026-09-05 11:51:03.580	NULL	Other Cities	1066
55954	2026-09-05 12:40:34.243	NULL	Tbilisi	2182
55961	2026-09-05 14:05:39.750	NULL	Other Cities	39999
55962	2026-09-05 13:44:29.141	NULL	Without City	1086
55966	2026-09-05 09:01:13.752	NULL	Without City	24438
55971	2026-09-08 10:06:48.936	NULL	Tbilisi	1193
55984	2026-09-08 10:10:40.778	NULL	Tbilisi	142276
55988	2026-09-07 07:20:55.732	NULL	Other Cities	71606
55991	2026-09-05 13:25:07.525	NULL	Tbilisi	1086
56004	2026-09-05 13:02:38.364	NULL	Other Cities	932
