d	leads	matched	apps	apps30	deals	before_
2026-03-19	8	1	0	0	0	1
2026-03-20	10	2	0	0	0	2
2026-03-21	13	2	0	0	0	2
2026-03-22	9	1	0	0	0	1
2026-03-23	13	1	0	0	0	1
2026-03-24	9	2	0	0	0	2
2026-03-25	12	2	0	0	0	2
2026-03-26	13	4	0	0	0	4
2026-03-27	13	3	0	0	0	3
2026-03-28	8	0	0	0	0	NULL
2026-03-29	10	2	0	0	0	2
2026-03-30	11	2	0	0	0	2
2026-03-31	10	2	0	0	0	2
2026-04-01	7	1	0	0	0	1
2026-04-02	10	1	0	0	0	1
2026-04-03	14	2	0	0	0	2
2026-04-04	4	1	0	0	0	1
2026-04-05	12	2	0	0	0	2
2026-04-06	7	1	1	1	0	1
2026-04-07	8	0	0	0	0	NULL
2026-04-08	10	0	0	0	0	NULL
2026-04-09	7	3	0	0	0	3
2026-04-10	3	1	0	0	0	1
2026-04-11	3	1	0	0	0	1
2026-04-12	5	1	0	0	0	1
2026-04-13	5	2	0	0	0	2
2026-04-14	5	0	0	0	0	NULL
2026-04-15	6	2	0	0	0	2
2026-04-16	11	3	0	0	0	3
2026-04-17	45	1	0	0	0	1
2026-04-18	70	7	0	0	0	7
2026-04-19	38	5	0	0	0	5
2026-04-20	41	4	0	0	0	4
2026-04-21	26	3	0	0	0	3
2026-04-22	32	2	0	0	0	2
2026-04-23	27	6	0	0	0	6
2026-04-24	22	5	0	0	0	5
2026-04-25	31	7	0	0	0	7
2026-04-26	34	9	0	0	0	9
2026-04-27	27	2	0	0	0	2
2026-04-28	38	4	0	0	0	4
2026-04-29	16	2	0	0	0	2
2026-04-30	28	2	0	0	0	2
2026-05-01	26	4	0	0	0	4
2026-05-02	35	9	0	0	0	9
2026-05-03	25	4	0	0	0	4
2026-05-04	26	1	0	0	0	1
2026-05-05	16	3	0	0	0	3
2026-05-06	33	7	0	0	0	7
2026-05-07	31	2	0	0	0	2
2026-05-08	34	4	0	0	0	4
2026-05-09	22	4	0	0	0	4
2026-05-10	25	1	0	0	0	1
2026-05-11	34	4	0	0	0	4
2026-05-12	16	3	0	0	0	3
2026-05-13	14	3	1	0	0	2
2026-05-14	25	2	0	0	0	2
2026-05-15	38	8	2	0	0	7
2026-05-16	14	1	0	0	0	1
2026-05-17	29	1	0	0	0	1
2026-05-18	31	4	0	0	0	4
2026-05-19	22	2	0	0	0	2
2026-05-20	40	6	1	1	0	6
2026-05-21	42	8	1	0	0	8
2026-05-22	40	11	1	0	0	11
2026-05-23	34	6	0	0	0	6
2026-05-24	37	6	0	0	0	6
2026-05-25	31	8	0	0	0	8
2026-05-26	27	6	1	0	0	6
2026-05-27	76	14	1	0	0	14
2026-05-28	87	11	2	2	0	11
2026-05-29	70	4	0	0	0	4
2026-05-30	48	4	0	0	0	4
2026-05-31	51	7	0	0	0	7
2026-06-01	51	7	0	0	0	7
2026-06-02	76	16	1	0	0	16
2026-06-03	61	10	1	1	0	9
2026-06-04	51	9	1	0	0	9
2026-06-05	56	7	0	0	0	7
2026-06-06	26	3	0	0	0	3
2026-06-07	55	5	0	0	0	5
2026-06-08	47	5	0	0	0	5
2026-06-09	46	7	0	0	0	7
2026-06-10	60	12	2	1	1	12
2026-06-11	44	11	1	1	1	11
2026-06-12	51	6	1	1	0	6
2026-06-13	53	7	0	0	0	7
2026-06-14	52	4	1	1	1	4
2026-06-15	47	4	0	0	0	4
2026-06-16	46	6	0	0	0	6
2026-06-17	55	7	0	0	0	7
2026-06-18	135	18	0	0	0	18
2026-06-19	81	10	0	0	0	10
2026-06-20	46	7	0	0	0	7
2026-06-21	73	11	0	0	0	11
2026-06-22	59	7	0	0	0	7
2026-06-23	66	8	0	0	0	8
2026-06-24	69	8	0	0	0	8
2026-06-25	38	6	0	0	0	6
2026-06-26	44	6	1	0	0	5
2026-06-27	48	5	0	0	0	5
2026-06-28	44	3	0	0	0	3
2026-06-29	73	10	0	0	0	10
2026-06-30	84	12	0	0	0	12
2026-07-01	71	10	1	0	0	10
2026-07-02	52	8	0	0	0	8
2026-07-03	51	8	0	0	0	8
2026-07-04	59	10	1	0	0	9
2026-07-05	56	8	0	0	0	8
2026-07-06	42	5	0	0	0	5
2026-07-07	49	9	0	0	0	9
2026-07-08	49	5	0	0	0	5
2026-07-09	40	11	0	0	0	11
2026-07-10	40	9	0	0	0	9
2026-07-11	28	4	1	0	0	4
2026-07-12	35	6	0	0	0	6
2026-07-13	38	5	0	0	0	5
2026-07-14	42	10	0	0	0	10
2026-07-15	52	6	0	0	0	6
2026-07-16	39	5	1	0	0	4
2026-07-17	32	3	0	0	0	3
2026-07-18	40	4	0	0	0	4
2026-07-19	31	4	0	0	0	4
2026-07-20	40	8	0	0	0	8
2026-07-21	38	4	0	0	0	4
2026-07-22	24	5	0	0	0	5
2026-07-23	29	4	1	1	0	3
2026-07-24	31	7	0	0	0	7
2026-07-25	38	4	0	0	0	4
2026-07-26	39	6	0	0	0	6
2026-07-27	47	5	0	0	0	5
2026-07-28	49	4	0	0	0	4
2026-07-29	33	6	0	0	0	6
2026-07-30	33	7	0	0	0	7
2026-07-31	30	5	0	0	0	5
2026-08-01	33	6	0	0	0	6
2026-08-02	38	5	0	0	0	5
2026-08-03	53	12	1	1	1	12
2026-08-04	37	7	0	0	0	7
2026-08-05	30	5	1	0	0	5
2026-08-06	28	5	0	0	0	5
2026-08-07	41	3	0	0	0	3
2026-08-08	34	5	0	0	0	5
2026-08-09	33	1	0	0	0	1
2026-08-10	43	5	1	1	0	5
2026-08-11	47	7	1	1	1	7
2026-08-12	37	3	0	0	0	3
2026-08-13	16	7	1	1	0	6
2026-08-14	27	7	0	0	0	7
2026-08-15	34	3	0	0	0	3
2026-08-16	28	0	0	0	0	NULL
2026-08-17	33	1	0	0	0	1
2026-08-18	28	5	0	0	0	5
2026-08-19	25	7	0	0	0	7
2026-08-20	33	6	0	0	0	6
2026-08-21	58	15	1	1	0	15
2026-08-22	33	4	1	1	0	3
2026-08-23	31	6	0	0	0	6
2026-08-24	42	7	0	0	0	7
2026-08-25	29	5	0	0	0	5
2026-08-26	18	3	0	0	0	3
2026-08-27	36	9	0	0	0	9
2026-08-28	18	5	0	0	0	5
2026-08-29	16	5	0	0	0	5
2026-08-30	20	4	0	0	0	4
2026-08-31	14	3	0	0	0	3
2026-09-01	14	3	1	1	0	3
2026-09-02	4	1	0	0	0	1
2026-09-03	1	0	0	0	0	NULL
2026-09-04	4	2	0	0	0	2
2026-09-05	0	0	0	0	0	NULL
2026-09-06	1	0	0	0	0	NULL
2026-09-07	6	3	0	0	0	3
2026-09-08	1	0	0	0	0	NULL
2026-09-09	1	1	1	1	0	0
2026-09-10	3	2	0	0	0	2
2026-09-11	0	0	0	0	0	NULL
2026-09-12	1	1	0	0	0	1
2026-09-13	3	2	0	0	0	2
2026-09-14	3	2	0	0	0	2
2026-09-15	0	0	0	0	0	NULL
