d	status	n	assigned	repeat_
2026-03-19	new	8	0	0
2026-03-20	new	10	0	0
2026-03-21	new	13	0	0
2026-03-22	new	9	0	0
2026-03-23	new	13	0	0
2026-03-24	new	9	0	0
2026-03-25	new	12	0	1
2026-03-26	new	13	0	0
2026-03-27	new	13	0	0
2026-03-28	new	8	0	0
2026-03-29	new	10	0	0
2026-03-30	new	11	0	0
2026-03-31	new	10	0	1
2026-04-01	new	7	0	0
2026-04-02	new	10	0	0
2026-04-03	new	14	0	0
2026-04-04	new	4	0	0
2026-04-05	new	12	0	0
2026-04-06	new	7	0	0
2026-04-07	new	8	0	0
2026-04-08	new	10	0	0
2026-04-09	new	7	0	0
2026-04-10	new	3	0	0
2026-04-11	new	3	0	0
2026-04-12	new	5	0	0
2026-04-13	new	5	0	0
2026-04-14	new	5	0	0
2026-04-15	new	6	0	0
2026-04-16	new	11	0	0
2026-04-17	new	45	0	0
2026-04-18	new	70	0	0
2026-04-19	new	38	0	0
2026-04-20	new	41	0	0
2026-04-21	new	26	0	0
2026-04-22	new	32	0	0
2026-04-23	new	27	0	0
2026-04-24	new	22	0	0
2026-04-25	new	31	0	0
2026-04-26	new	34	0	0
2026-04-27	new	27	0	0
2026-04-28	new	38	0	0
2026-04-29	new	16	0	0
2026-04-30	new	28	0	0
2026-05-01	new	26	0	0
2026-05-02	new	35	0	0
2026-05-03	new	25	0	0
2026-05-04	new	26	0	0
2026-05-05	new	16	0	0
2026-05-06	new	33	0	0
2026-05-07	new	31	0	0
2026-05-08	new	34	0	0
2026-05-09	new	22	0	1
2026-05-10	new	25	0	0
2026-05-11	new	34	0	2
2026-05-12	new	16	0	0
2026-05-13	new	14	0	0
2026-05-14	new	25	0	0
2026-05-15	new	38	0	1
2026-05-16	new	14	0	0
2026-05-17	new	29	0	0
2026-05-18	new	31	0	1
2026-05-19	new	22	0	0
2026-05-20	new	40	0	1
2026-05-21	new	42	0	1
2026-05-22	new	40	0	1
2026-05-23	new	34	0	0
2026-05-24	new	37	0	1
2026-05-25	new	31	0	0
2026-05-26	new	27	0	4
2026-05-27	new	76	0	6
2026-05-28	new	87	0	8
2026-05-29	new	70	0	7
2026-05-30	new	48	0	3
2026-05-31	new	51	0	4
2026-06-01	new	51	0	3
2026-06-02	new	76	0	6
2026-06-03	new	61	0	7
2026-06-04	new	51	0	4
2026-06-05	new	56	0	2
2026-06-06	new	26	0	2
2026-06-07	new	55	0	4
2026-06-08	new	47	0	0
2026-06-09	new	46	0	5
2026-06-10	new	60	0	5
2026-06-11	new	44	0	5
2026-06-12	new	51	0	1
2026-06-13	new	53	0	5
2026-06-14	new	52	0	7
2026-06-15	new	47	0	4
2026-06-16	new	46	0	7
2026-06-17	new	55	0	8
2026-06-18	new	135	0	17
2026-06-19	new	81	0	10
2026-06-20	new	46	0	3
2026-06-21	new	73	0	3
2026-06-22	new	59	0	2
2026-06-23	new	66	0	1
2026-06-24	new	69	0	3
2026-06-25	new	38	0	3
2026-06-26	new	44	0	5
2026-06-27	new	48	0	2
2026-06-28	new	44	0	2
2026-06-29	new	73	0	12
2026-06-30	new	84	0	6
2026-07-01	new	71	0	3
2026-07-02	new	52	0	3
2026-07-03	new	51	0	2
2026-07-04	new	59	0	6
2026-07-05	new	56	0	4
2026-07-06	new	42	0	4
2026-07-07	new	49	0	6
2026-07-08	new	49	0	6
2026-07-09	new	40	0	4
2026-07-10	new	40	0	5
2026-07-11	new	28	0	3
2026-07-12	new	35	0	4
2026-07-13	new	38	0	5
2026-07-14	new	42	0	3
2026-07-15	new	52	0	3
2026-07-16	new	39	0	1
2026-07-17	new	32	0	3
2026-07-18	new	40	0	7
2026-07-19	new	31	0	6
2026-07-20	new	40	0	4
2026-07-21	new	38	0	4
2026-07-22	new	24	0	2
2026-07-23	new	29	0	3
2026-07-24	new	31	0	0
2026-07-25	new	38	0	3
2026-07-26	new	39	0	5
2026-07-27	new	47	0	7
2026-07-28	new	49	0	6
2026-07-29	new	33	0	0
2026-07-30	new	33	0	2
2026-07-31	new	30	0	0
2026-08-01	new	33	0	4
2026-08-02	new	38	0	3
2026-08-03	new	53	0	5
2026-08-04	new	37	0	5
2026-08-05	new	30	0	2
2026-08-06	new	28	0	3
2026-08-07	new	41	0	5
2026-08-08	new	34	0	3
2026-08-09	new	33	0	1
2026-08-10	new	43	0	8
2026-08-11	new	47	0	5
2026-08-12	new	37	0	6
2026-08-13	new	16	0	2
2026-08-14	new	27	0	1
2026-08-15	new	34	0	5
2026-08-16	new	28	0	4
2026-08-17	new	33	0	4
2026-08-18	new	28	0	1
2026-08-19	new	25	0	6
2026-08-20	new	33	0	2
2026-08-21	new	58	0	2
2026-08-22	new	33	0	6
2026-08-23	new	31	0	3
2026-08-24	contacted	1	1	0
2026-08-24	new	41	7	5
2026-08-25	contacted	4	4	0
2026-08-25	new	25	25	1
2026-08-26	contacted	1	1	0
2026-08-26	new	17	17	5
2026-08-27	contacted	1	1	0
2026-08-27	new	35	35	3
2026-08-28	new	18	18	1
2026-08-29	new	16	16	0
2026-08-30	new	20	20	4
2026-08-31	contacted	1	1	0
2026-08-31	new	13	13	1
2026-09-01	contacted	10	10	0
2026-09-01	new	3	3	0
2026-09-01	qualified	1	1	0
2026-09-02	contacted	3	3	1
2026-09-02	new	1	1	1
2026-09-03	contacted	1	1	0
2026-09-04	contacted	4	4	0
2026-09-06	contacted	1	1	0
2026-09-07	contacted	3	3	1
2026-09-07	new	1	1	0
2026-09-07	qualified	2	2	1
2026-09-08	contacted	1	1	0
2026-09-09	contacted	1	1	0
2026-09-10	contacted	3	3	0
2026-09-12	qualified	1	1	0
2026-09-13	contacted	1	1	0
2026-09-13	new	1	1	0
2026-09-13	qualified	1	1	0
2026-09-14	contacted	1	1	0
2026-09-14	new	2	2	0
