id	parent_id	name
1	NULL	NULL
28	1	NULL
34	689	საყოფაცხოვრებო ტექნიკა
36	650	გაზის გამათბობელი
38	689	სამზარეულოს ტექნიკა
39	660	მიკროტალღური ღუმელი
40	689	ტელევიზორები & აქსესუარები
41	40	ტელევიზორი
42	689	მობილურები & აქსესუარები
43	42	სმარტფონები
45	42	ყურსასმენები
51	42	პორტატული დინამიკი
52	75	პორტატული ელექტროსადგური
53	75	კომპიუტერული აქსესუარები
55	53	მონიტორები
57	53	პრინტერები
58	53	სკანერები
65	40	დინამიკი
66	75	გეიმინგი
69	66	გეიმინგ სავარძელი
75	689	სმარტ გაჯეტები
77	655	ვიდეოკამერა
79	655	დრონი
82	631	მაცივარი
85	716	ჭურჭლის სარეცხი მანქანა
86	716	გაზქურა
87	88	გამწოვი
88	716	ჩასაშენებელი ტექნიკა
89	88	ჩასაშენებელი ელექტრო ღუმელი
90	88	ჩასაშენებელი ქურა
91	88	ჩასაშენებელი გამწოვი
92	88	გაზქურის ზედაპირი
93	88	ჩასაშენებელი მიკროტალღური
94	650	წყლის გამაცხელებელი
95	650	ცენტრალური გათბობის ქვაბი
96	651	პანელური რადიატორი
97	651	საშრობი რადიატორი
98	653	კონდიციონერი
99	652	ელექტრო გამათბობელი
102	530	ვენტილატორი
105	716	წყლის დისპენსერი
107	660	ელექტრო ღუმელი
108	691	აეროგრილი
109	38	სამზარეულოს კომბაინი
110	661	ბლენდერი
111	110	ხელის ბლენდერი
112	38	პურის საცხობი
113	661	მიქსერი
114	38	მულტისახარში ქვაბი
115	659	ორთქლსახარში
116	669	ხორცსაკეპი
118	659	ტოსტერი
119	668	გრილი
121	662	წვენსაწური
122	662	ელექტრო ჩაიდანი
123	667	ჩირის აპარატი
124	662	ყინულის აპარატი
125	667	ნაყინის აპარატი
126	659	ფრის აპარატი
128	663	სამზარეულოს სასწორი
131	667	ვაფლის აპარატი
132	662	სლაშის აპარატი
133	669	ვაკუუმის აპარატი
134	664	ტაფა
135	664	ტაფების ნაკრები
136	665	ქვაბი
137	665	ქვაბების ნაკრები
138	666	ჭიქები
139	666	ყავის ჭიქები
140	413	დანების კომპლექტი
141	413	კოვზების კომპლექტი
143	662	ყავის აპარატი
144	662	ყავის მადუღარა
146	1	სახლი & დეკორი
147	530	მოპი & იატაკის საწმენდი
148	658	მტვერსასრუტი
149	658	რობოტი მტვერსასრუტი
150	694	მაღალი წნევით რეცხვის აპარატი
151	663	უთო
152	682	საუთოებელი მაგიდა
153	694	ქიმწმენდის აპარატი
154	694	ორთქლით საწმენდი აპარატი
155	530	შუშის / მინის / ფანჯრის საწმენდები
157	465	აუზი
158	75	ჭკვიანი სახლი
159	158	ჭკვიანი საკეტები
160	158	ჭკვიანი კამერები
161	158	კონტროლი & ავტომატიზაცია
235	1	სპორტი & გართობა
238	235	ველოსპორტი
239	238	ველოსიპედი
240	238	სკუტერი
245	238	როლიკები
258	235	ლაშქრობა
259	258	კარვები & ტენტები
266	258	ჰამაკები
292	146	ავეჯი
293	496	დივანი
294	496	სავარძელი
295	532	ყავის მაგიდა
300	496	პუფი
301	532	მაგიდა
302	532	სკამი
306	466	საწოლი
307	466	მატრასი
314	649	გარე ავეჯი
315	314	გარე მაგიდა
317	314	გარე სკამი
318	314	ბაღის საქანელები
319	465	შეზლონგი
322	502	სანათი
323	558	ხალიჩა
324	558	საბანი
325	558	ბალიში
326	1	რემონტი
333	645	აკუმულატორები
334	649	ბაღის ხელსაწყოები
335	645	ბეწვა ხერხები
336	648	ინსტრუმენტების ნაკრები
337	645	კუთხსახეხი მანქანა
338	645	პერფორატორები
339	645	საღებავსაფრქველები
341	645	სჭვალსახრახნები
342	645	ფრეზერები
343	645	ქანჩსახრახნი
344	645	ხერხები
345	1	ავტო აქსესუარები
348	345	საცხებ-საპოხი მასალები
349	348	ძრავის ზეთი
351	348	ტრანსმისიის ზეთი
356	345	აკუმულატორი
357	345	საბურავი
370	326	სანტექნიკა
375	370	შემრევები & აქსესუარები
380	370	სავენტილაციო სისტემები
382	370	კანალიზაცია & წყალმომარაგება
383	370	წყლის გაფილტვრა
385	646	თმის მოვლა
389	326	იატაკი & საფარები
390	389	ლამინირებული იატაკი
391	389	SPC საფარი
392	389	პარკეტის დაფა
393	389	ტერასის დაფა
394	389	იატაკის რბილი საფარი
395	558	ფეხსაგები
396	389	ხელოვნური ბალახი
397	389	ლინოლიუმი
398	389	პლინტუსი და მაკომპლექტებლები
400	389	პროფილები
401	389	ზღურბლი
402	652	ზეთის რადიატორი
403	88	ჩასაშენებელი ზედაპირი
404	88	ჩასაშენებელი ჭურჭლის სარეცხი მანქანა
405	631	საყინულე
406	385	წვერსაპარსი
409	385	თმის უთო
410	385	თმის დასახვევი
411	385	თმის საშრობი & სავარცხელი
412	385	თმის საჭრელი & ტრიმერი
413	464	სამზარეულოს აქსესუარების ნაკრები
414	151	ორთქლის უთო
415	118	გრილ ტოსტერი
419	385	თმის სტაილერი
420	88	ჩასაშენებელი მაცივარი
422	86	ინდუქციური ქურა
423	535	სარეცხის საშრობი
424	535	სარეცხი მანქანა საშრობით
428	465	აუზის ტენტი
429	314	გარე ავეჯის კომპლექტი
430	675	სარწყავი სისტემა
433	631	ღვინის მაცივარი
434	669	ჩოფერი
435	465	აუზის მოვლა
436	464	პურის შესანახი
442	649	ბატუტი
444	662	კაპუჩინატორი
446	86	მაგიდაზე დასადგმელი ზედაპირი
448	88	ჩასაშენებელი საყინულე
449	646	ეპილატორი
450	662	თერმოჩაიდანი
451	663	სასწორი
452	413	დანა-ჩანგლის ნაკრები
453	669	სალათის აპარატი
454	113	ხელის მიქსერი
455	151	ორთქლის გენერატორი
456	667	პოპკორნის აპარატი
457	136	სარძევე
458	664	გრილის ტაფა
459	665	ტაფა-ქვაბები
460	664	ბლინის ტაფა
461	682	საკერავი მანქანა
464	146	სამზარეულო & ჭურჭელი
465	649	აუზი & აქსესუარები
466	292	საძინებელი
467	1	აქსესუარები
468	467	საათები
469	468	ქალის საათები
470	468	მამაკაცის საათები
471	645	დრელები
474	490	სეიფი
475	647	გენერატორი
476	647	სამრეწველო გამათბობლები
477	647	დაზგები და მანქანები
478	645	სახეხი მანქანები
480	647	შედუღების მოწყობილობა & აპარატი
481	326	მულტიინსტრუმენტები
484	292	ლითონის სტელაჟები
488	648	ხელის ინსტრუმენტების ნაკრები
490	292	საოფისე ავეჯი
492	235	სათამაშოები
496	292	რბილი ავეჯი
502	146	განათება
503	146	აბაზანა
504	503	აბაზანის ავეჯი
505	503	ხელსაბანები & ნიჟარები
506	502	ტორშერი
507	503	უნიტაზი & ბიდეები
508	503	საშხაპე კაბინები & მოწყობილობები
509	502	ღამის სანათები
513	502	მაგიდის სანათები
514	502	ბრა
515	502	დეკორატიული განათება
517	649	გარე განათება
518	502	ჭაღები
519	502	დაუნლაითი
521	314	პავილიონი & ტენტი
522	502	ბაღის განათება
524	334	ბაღის მტვერსასრუტი
525	334	ბაღის მოტო და ელექტრო ინსტრუმენტები
526	649	ბარბექიუ & გრილი
527	526	გრილი-ბარბექიუ
528	526	ბარბექიუს აქსესუარები
530	689	სახლის მოვლა
531	435	რობოტი აუზის
532	292	მისაღები
533	468	უნისექსი
534	66	სათამაშო კონსოლი
535	689	სარეცხი მანქანები
536	467	სამაჯური
537	536	კაცის სამაჯური
538	536	ქალის სამაჯური
539	467	ბეჭედი
540	467	საყურე
541	467	ყელსაბამი
542	467	საფულე
543	544	მეხსიერების ბარათი
544	150	აქსესუარები
547	648	ხელის მოტობლოკი
548	66	ფლეისთეიშენი
550	503	აბაზანები
552	504	ხელსაბნის ტუმბო
553	504	აბაზანის კარადები
554	504	აბაზანის სარკე
555	650	ბუხარი
556	647	კომპრესორი
557	657	შპალერი
558	146	ტექსტილი
559	558	ფარდა-ჟალუზი
560	496	სამეული
561	398	შეერთება პლინტუსის
562	398	კუთხე გარე
563	398	კუთხე შიდა
564	398	საცობი
566	398	პლინტუსი
567	532	თარო
568	389	ფილა
569	568	იატაკის ფილა
570	568	კაფელი
571	568	კერამოგრანიტი
572	568	კლინკერის ფილა
573	389	მინაბლოკი
574	326	კარ-ფანჯარა & ფურნიტურა
575	574	შიდა კარები
576	574	შემოსასვლელი კარები
579	657	კარნიზი
580	579	კარნიზის მაკომპლექტებლები
581	502	სპოტი
582	645	შალაშინი
583	648	თარაზო
584	645	სტეპლერი
585	480	შესადუღებელი აპარატი
586	344	ლენტური ხერხი
587	645	არხის საჭრელი
588	344	ხმლისებრი ხერხი
