d	seg	applications	terms	uw
2026-08-31	A	21	13	1
2026-08-31	B	70	58	19
2026-09-01	A	37	22	3
2026-09-01	B	108	90	26
2026-09-02	A	21	10	0
2026-09-02	B	131	103	17
2026-09-03	A	20	12	4
2026-09-03	B	104	84	24
2026-09-04	A	21	15	2
2026-09-04	B	127	99	22
2026-09-05	A	19	13	0
2026-09-05	B	100	84	23
2026-09-06	A	21	17	1
2026-09-06	B	112	87	21
2026-09-07	A	24	14	2
2026-09-07	B	142	108	24
2026-09-08	A	21	14	1
2026-09-08	B	122	100	24
2026-09-09	A	24	13	1
2026-09-09	B	170	130	33
2026-09-10	A	26	10	1
2026-09-10	B	178	136	40
2026-09-11	A	42	27	0
2026-09-11	B	123	90	25
2026-09-12	A	27	21	2
2026-09-12	B	145	99	37
2026-09-13	A	56	37	4
2026-09-13	B	156	102	28
2026-09-14	A	34	19	4
2026-09-14	B	148	90	29
2026-09-15	A	38	8	2
2026-09-15	B	126	39	16
