d	seg	deals	amount	price	no_schedule
2026-09-02	A	1	669.0000	529.0000	0
2026-09-02	B	2	2348.0000	1858.0000	0
2026-09-03	A	1	1999.0000	1580.0000	0
2026-09-03	B	21	19599.0000	15372.0000	0
2026-09-04	A	1	669.0000	529.0000	0
2026-09-04	B	26	31724.0000	25086.0000	0
2026-09-05	A	1	3759.0000	2979.0000	0
2026-09-05	B	30	25930.0000	20444.0000	0
2026-09-07	A	3	3157.0000	2497.0000	0
2026-09-07	B	24	20986.0000	16573.0000	0
2026-09-08	A	1	649.0000	508.0000	0
2026-09-08	B	40	47210.0000	37361.0000	1
2026-09-09	A	2	3328.0000	2628.0000	0
2026-09-09	B	30	30450.0000	23848.0000	0
2026-09-10	A	1	2659.0000	2108.0000	0
2026-09-10	B	27	32433.0000	25647.0000	0
2026-09-11	A	1	2759.0000	2759.0000	1
2026-09-11	B	24	24066.0000	18965.0000	0
2026-09-12	A	2	2348.0000	1858.0000	0
2026-09-12	B	24	18456.0000	14430.0000	0
2026-09-13	A	3	6477.0000	5127.0000	0
2026-09-13	B	30	30730.0000	24015.0000	0
