period	d	order_id	product_id	qty	sales	deal_type	brand	sku	product_name
2026-08	2026-08-31	15327	2275	1	3030.0000	installment	DREAME	Dream-005	რობოტი მტვერსასრუტი Dreame Robot Vacuum L40 Ultra CE Black (RLD52SE)
2026-08	2026-08-31	15446	142259	1	1600.0000	installment	HONOR	174307	Mobile and Smartphones/ Honor/ Honor 600 Lite 8GB/256GB Dual Sim Velvet Black
2026-08	2026-08-31	15452	142266	1	900.0000	installment	HONOR	177279	Mobile and Smartphones/ Honor/ Honor X7e 6GB/256GB Midnight Black
2026-08	2026-08-31	15478	42557	1	510.0000	installment	ARSHIA	SM118-3603	მიქსერი ჯამიანი ARSHIA SM118-3603 27235
2026-08	2026-08-31	15478	507	1	650.0000	installment	FRANKO	FRANKO-FMG-1211	ხორცსაკეპი მანქანა FRANKO FMG-1211
2026-08	2026-08-31	15489	2127	1	670.0000	installment	HONOR	167871	ტელეფონი HONOR X6c 6GB/128GB Ocean Cyan
2026-08	2026-08-31	15501	1063	1	1240.0000	installment	SHARK	SHARK-HD446E-U	თმის სტაილერი SHARK HD446EU
2026-08	2026-08-31	15545	39776	1	950.0000	installment	TCL	165469	TV/ QLED/ TCL/ QLED TV  43"(109cm)/ 43S5K  Google TV FHD 1920x1080 HDR10 6.5ms 178* 220cd/m2 4000:1 DVB-T2/S/S2/C BT5.0 WiFi LAN HDMI USB 2x5W VESA100
2026-08	2026-08-31	15557	416	1	1490.0000	installment	MIDEA	MIDEA-MF200W90WB-W	სარეცხი მანქანა MIDEA MF200W90WB/W
2026-08	2026-08-31	15593	2511	1	940.0000	installment	DIXI	DIXI-FF6400GFZj	გაზქურა DIXI FF6400GFZj (mixed inox)
2026-08	2026-08-31	15596	70313	1	950.0000	installment		BJLB-2028-R	საბავშვო ელექტრო BJLB-2028-R
2026-08	2026-08-31	15600	288	1	2560.0000	installment	MIDEA	MIDEA-AG-18N8DO-Ioniser	კონდიციონერი MIDEA AG-18N8DO Ioniser
2026-08	2026-08-31	15631	381	1	130.0000	installment	BRAUN	BRAUN-WK1100BK	ჩაიდანი BRAUN WK1100BK
2026-08	2026-08-31	15631	1331	1	360.0000	installment	MIDEA	MIDEA-AM8P022ET-B	მიკროტალღური ღუმელი MIDEA AM8P022ET-B
2026-08	2026-08-31	15647	1471	1	1160.0000	installment	HISENSE	HISENSE-WF3S8043BB3	სარეცხი მანქანა HISENSE WF3S8043BB3
2026-08	2026-08-31	15649	142264	1	860.0000	installment	HONOR	177278	Mobile and Smartphones/ Honor/ Honor X7e 6GB/128GB Sunrise Orange
2026-08	2026-08-31	15660	41202	1	420.0000	installment	CASIO	AQ-230GA-9DHDF	Casio General Quartz Wristwatch Unisex/AQ-230GA-9DHDF
2026-08	2026-08-31	15661	2433	1	2140.0000	installment	DREAME	Dream-012	რობოტი მტვერსასრუტი Dreame Robot Vacuum D20 Pro Plus Black (RLD43SD)
2026-08	2026-08-31	15664	897	1	1540.0000	installment	MARAZZI	MARAZZI-WM1002FL36-S-DG	სარეცხი მანქანა MARAZZI WM1002FL36(S/DG)
2026-08	2026-08-31	15670	991	1	510.0000	installment	FRANKO	FRANKO-FTV-32SH1400	ტელევიზორი FRANKO FTV-32SH1400
2026-08	2026-08-31	15684	2481	1	1070.0000	installment	DREAME	Dreame-R10sPro	მტვერსასრუტი Dreame Cordless Vacuum Cleaner R10s Pro
2026-08	2026-08-31	15687	774	1	1580.0000	installment	SUNNY	SUNNY-55-SN55FIL252-0276-WebOS	ტელევიზორი SUNNY 55'' (SN55FIL252/0276) WebOS
2026-08	2026-08-31	15688	1566	1	480.0000	installment	MIDEA	MIDEA-M-F-C-Y-85-W-K-2	აეროგრილი MIDEA MF-CY85WK2
2026-08	2026-08-31	15699	142308	1	610.0000	installment	Xiaomi	175816	Mobile and Smartphones/ Xiaomi/ Xiaomi Redmi 15C 4GB/128GB Without Charger Moonlight Blue
2026-08	2026-08-31	15702	1028	1	760.0000	installment	SHARP	SHARP-SCF-K140H-WH-2	საყინულე SHARP SCF-K140H-WH2
2026-08	2026-08-31	15709	536	1	80.0000	installment	CAMRY	CAMRY-CR2255	ფენი CAMRY CR2255
2026-08	2026-08-31	15709	2583	1	230.0000	installment	CASIO	1094Q-7B4RDF	საათი Casio Quartz Wristwatch / LTP-1094Q-7B4RDF
2026-08	2026-08-31	55264	21335	1	270.0000	installment		206821	საშრობი პირსახოცის Florad TEXTURE 500X1200 მმ
2026-08	2026-08-31	55264	21426	1	280.0000	installment		165263	რადიატორი პანელური Belorad 600x1000 მმ
2026-08	2026-08-31	55264	21433	1	500.0000	installment		165275	რადიატორი პანელური Belorad 600x1500 მმ
2026-08	2026-08-31	55269	1600	1	1500.0000	installment	MIDEA	MIDEA-MO715105GB	ჩასაშენებელი ღუმელი MIDEA MO715105GB
2026-08	2026-08-31	55269	1598	1	1040.0000	installment	MIDEA	MIDEA-MI10250GB	ჩასაშენებელი მიკროტალღური ღუმელი MIDEA MI10250GB
2026-08	2026-08-31	55275	242	1	1090.0000	installment	HISENSE	HISENSE-DB35DCUR-INOX	მაცივარი HISENSE DB35DCUR-INOX
2026-08	2026-08-31	55318	2489	1	1980.0000	installment		NULL	NULL
2026-08	2026-08-31	55321	893	1	1390.0000	installment	MARAZZI	MARAZZI-WM904FL66-S-DG	სარეცხი მანქანა MARAZZI WM904FL66(S/DG)
2026-08	2026-08-31	55331	40612	1	170.0000	installment		232293	ქვაბი კერამიკის BERLLONG BCP-2573
2026-08	2026-08-31	55331	40613	1	200.0000	installment		232317	ქვაბი კერამიკის BERLLONG BCP-4875
2026-08	2026-08-31	55333	142298	1	990.0000	installment	SAMSUNG	169673	Mobile and Smartphones/ Samsung/ Samsung A175F Galaxy A17 8GB/256GB LTE Duos Black
2026-08	2026-08-31	55337	38485	1	240.0000	installment	BOSCH	I72885	ხელის ბლენდერი BOSCH MSM64110
2026-08	2026-08-31	55346	142267	1	900.0000	installment	HONOR	177281	Mobile and Smartphones/ Honor/ Honor X7e 6GB/256GB Sunrise Orange
2026-08	2026-08-31	55347	2489	1	239.0000	single		NULL	NULL
2026-08	2026-08-31	55349	2489	1	950.0000	installment		NULL	NULL
2026-08	2026-08-31	55349	1566	1	380.0000	installment	MIDEA	MIDEA-M-F-C-Y-85-W-K-2	აეროგრილი MIDEA MF-CY85WK2
2026-09	2026-09-02	15722	3748	1	999.0000	installment	DREAME	PurpleAMF18A	თმის სტაილერი Styler Dreame AirStyle Pro Purple (AMF18A)
2026-09	2026-09-02	15723	2163	1	229.0000	installment	MIDEA	MIDEA-MF-CY55WK2	აეროგრილი MIDEA MF-CY55WK2
2026-09	2026-09-02	15723	1324	1	49.0000	installment	MIDEA	MIDEA-MK-17S32B2	ჩაიდანი MIDEA MK-17S32B2
2026-09	2026-09-02	15723	40502	1	69.0000	installment		232677	დანა-ჩანგლის ნაკრები SL-01 24 ც
2026-09	2026-09-02	15725	50218	1	959.0000	installment	TRINX	M136ELITE	ველოსიპედი TRINX M136ELITE
2026-09	2026-09-02	15726	342	1	1149.0000	installment	MIDEA	MDRB424FGF01O	მაცივარი MIDEA MDRB424FGF01O
2026-09	2026-09-02	55433	38557	1	1899.0000	installment	SAMSUNG	120227	Tablets/ Samsung/ Samsung Galaxy Tab S7 FE LTE 12.4'' 4GB 64 GB Black
2026-09	2026-09-02	55448	2127	1	529.0000	installment	HONOR	167871	ტელეფონი HONOR X6c 6GB/128GB Ocean Cyan
2026-09	2026-09-02	55532	142265	1	709.0000	installment	HONOR	177280	Mobile and Smartphones/ Honor/ Honor X7e 6GB/256GB Light Blue
2026-09	2026-09-02	55557	41546	1	595.0000	installment	KARCHER GEORGIA	KVA-2	უსადენო მტვერსასრუტი Karcher KVA 2
2026-09	2026-09-02	55557	1776	1	149.0000	installment	PANASONIC	PANASONIC-MX-SS1BTQ	ხელის ბლენდერი PANASONIC MX-SS1BTQ
2026-09	2026-09-03	15716	21870	1	169.0000	installment		147696	კუთხსახეხი მანქანა Ingco AG900285 900W
2026-09	2026-09-03	15716	28155	1	189.0000	installment		47682	სჭვალსახრახნი შურუპავიორტი აკუმულატორის Raider RD-CDL26 12V
