order_id	schedule_sum	advance	base_grand_total
15716	450.00	10.0000	358.0000
15722	1160.00	100.0000	999.0000
15723	430.00	20.0000	347.0000
15725	1160.00	50.0000	959.0000
15726	1149.00	145.0000	1149.0000
55359	1000.00	40.0000	819.0000
55365	880.00	20.0000	709.0000
55370	870.00	50.0000	729.0000
55375	890.00	10.0000	709.0000
55379	310.00	10.0000	249.0000
55386	1070.00	30.0000	869.0000
55387	1200.00	60.0000	999.0000
55391	1280.00	50.0000	1048.0000
55396	330.00	10.0000	258.0000
55423	530.00	20.0000	429.0000
55433	2200.00	200.0000	1899.0000
55434	1080.00	10.0000	859.0000
55445	470.00	10.0000	379.0000
55448	660.00	10.0000	529.0000
55449	430.00	10.0000	349.0000
55450	510.00	20.0000	419.0000
55458	880.00	10.0000	699.0000
55467	880.00	20.0000	1369.0000
55468	480.00	20.0000	389.0000
55490	1000.00	20.0000	797.0000
55497	370.00	10.0000	299.0000
55504	710.00	10.0000	569.0000
55532	890.00	10.0000	709.0000
55541	390.00	10.0000	328.0000
55557	897.44	40.0000	744.0000
55573	1080.00	10.0000	858.0000
55598	1920.00	200.0000	1797.0000
55599	800.00	60.0000	679.0000
55604	750.00	50.0000	629.0000
55614	900.00	20.0000	729.0000
55617	700.00	20.0000	569.0000
55628	1500.00	100.0000	1269.0000
55639	800.00	20.0000	649.0000
55641	930.00	20.0000	749.0000
55649	1100.00	100.0000	949.0000
55652	840.00	20.0000	679.0000
55669	850.00	100.0000	749.0000
55672	2490.00	500.0000	2369.0000
55683	1840.00	200.0000	1619.0000
55684	1100.00	100.0000	949.0000
55694	1670.00	200.0000	1479.0000
55695	840.00	20.0000	679.0000
55706	600.00	20.0000	477.0000
55712	220.00	10.0000	179.0000
55728	450.00	10.0000	358.0000
55737	530.00	20.0000	429.0000
55742	300.00	10.0000	239.0000
55748	700.00	20.0000	569.0000
55754	880.00	10.0000	699.0000
55758	2560.00	300.0000	2979.0000
55763	2100.00	50.0000	1699.0000
55774	970.00	100.0000	849.0000
55775	864.00	96.0000	759.0000
55792	780.00	20.0000	629.0000
55795	1140.00	100.0000	979.0000
55818	1980.00	50.0000	2029.0000
55819	940.00	10.0000	749.0000
55829	810.00	10.0000	649.0000
55830	880.00	20.0000	709.0000
55838	1850.00	40.0000	1499.0000
55844	500.00	60.0000	439.0000
55858	870.00	20.0000	699.0000
55862	1570.00	150.0000	1358.0000
55871	840.00	20.0000	679.0000
55877	270.00	10.0000	219.0000
55880	380.00	10.0000	309.0000
55883	1230.00	10.0000	840.0000
55885	300.00	10.0000	239.0000
55896	1200.00	400.0000	1269.0000
55897	910.00	10.0000	799.0000
55906	1200.00	60.0000	999.0000
55909	260.00	10.0000	208.0000
55914	410.00	10.0000	329.0000
55920	2260.00	200.0000	1949.0000
55921	550.00	20.0000	449.0000
55930	480.00	20.0000	389.0000
55932	1540.00	100.0000	1299.0000
55942	880.00	20.0000	709.0000
55945	2350.00	100.0000	1938.0000
55953	2100.00	120.0000	1759.0000
55954	850.00	10.0000	679.0000
55961	750.00	100.0000	669.0000
55962	880.00	20.0000	1049.0000
55966	1330.00	10.0000	1059.0000
55971	700.00	20.0000	569.0000
55981	1100.00	60.0000	919.0000
55984	1590.00	200.0000	1419.0000
55988	220.00	10.0000	179.0000
55991	880.00	20.0000	709.0000
56004	490.00	10.0000	389.0000
56007	540.00	10.0000	429.0000
56027	850.00	20.0000	689.0000
56033	260.00	10.0000	209.0000
56036	405.00	65.0000	508.0000
56038	810.00	90.0000	709.0000
56048	1422.00	158.0000	1248.0000
56063	940.00	20.0000	759.0000
56074	981.00	109.0000	859.0000
56079	700.00	20.0000	569.0000
56082	450.00	20.0000	389.0000
56086	520.00	40.0000	380.0000
56092	1500.00	290.0000	1419.0000
56106	790.00	10.0000	629.0000
56114	440.00	10.0000	348.0000
56121	1790.00	100.0000	1499.0000
56123	585.00	65.0000	508.0000
56133	1080.00	20.0000	869.0000
56141	1134.00	126.0000	999.0000
56145	530.00	20.0000	429.0000
56157	2380.00	400.0000	2199.0000
56159	470.00	50.0000	409.0000
56161	594.00	66.0000	519.0000
56174	344.00	46.0000	358.0000
56176	220.00	10.0000	179.0000
56185	490.00	20.0000	398.0000
56197	2500.00	1990.0000	3559.0000
56200	850.00	20.0000	595.0000
56204	1490.00	150.0000	1299.0000
56223	1400.00	60.0000	1151.0000
56241	480.00	20.0000	389.0000
56254	950.00	10.0000	759.0000
56261	210.00	10.0000	169.0000
56265	1361.00	169.0000	1339.0000
56272	1160.00	100.0000	1199.0000
56273	1130.00	20.0000	1199.0000
56284	1200.00	60.0000	999.0000
56288	1500.00	100.0000	1269.0000
56290	1500.00	140.0000	1299.0000
56298	330.00	30.0000	278.0000
56305	410.00	10.0000	328.0000
56321	750.00	10.0000	599.0000
56334	660.00	50.0000	558.0000
56343	880.00	20.0000	709.0000
56344	1100.00	100.0000	949.0000
56345	1020.00	20.0000	819.0000
56351	520.00	10.0000	419.0000
56361	930.00	20.0000	749.0000
56362	1500.00	40.0000	1219.0000
56373	1500.00	120.0000	1279.0000
56376	480.00	20.0000	389.0000
56380	1200.00	60.0000	999.0000
56387	250.00	10.0000	229.0000
56393	1800.00	130.0000	1529.0000
56394	900.00	20.0000	729.0000
56404	1180.00	20.0000	949.0000
56413	270.00	20.0000	229.0000
56423	830.00	30.0000	678.0000
56428	2000.00	10.0000	1589.0000
56434	2310.00	100.0000	1816.0000
56449	1055.00	115.0000	1006.0000
56450	700.00	20.0000	495.0000
