product_id	category	site	installment_total	qty
155	გაზქურა	625.00	625.00000000	1
236	გამწოვი	420.00	420.00000000	1
465	მაცივარი	900.00	900.00000000	1
467	მაცივარი	2660.00	2660.00000000	2
472	მაცივარი	1390.00	1390.00000000	1
640	მიქსერი	280.00	280.00000000	1
721	მტვერსასრუტი	330.00	330.00000000	1
771	მტვერსასრუტი	390.00	390.00000000	1
777	მტვერსასრუტი	270.00	270.00000000	1
782	მტვერსასრუტი	470.00	470.00000000	1
784	მტვერსასრუტი	530.00	530.00000000	1
801	პურის საცხობი	1160.00	1160.00000000	2
1272	ტოსტერი	120.00	120.00000000	1
1349	უთო	320.00	320.00000000	1
2059	კონდიციონერი	3570.00	3570.00000000	3
2062	კონდიციონერი	2220.00	2220.00000000	1
2074	კონდიციონერი	2560.00	2560.00000000	1
2092	სარეცხი მანქანა	1900.00	1900.00000000	2
2093	სარეცხი მანქანა	1740.00	1740.00000000	2
3149	მიქსერი ჯამით	290.00	290.00000000	1
3178	ელექტრო ღუმელი	390.00	390.00000000	1
3246	ელექტრო ღუმელი	560.00	560.00000000	2
3427	ტელევიზორი 	390.00	390.00000000	1
3473	ბლენდერი	0.01	0.01000000	1
3506	მაცივარი	800.00	800.00000000	1
3518	გამწოვი	380.00	380.00000000	1
3648	მაცივარი	3060.00	3060.00000000	2
3682	აუზი	750.00	750.00000000	2
3698	გაზის წყლის გამაცხელებელი	960.00	960.00000000	1
3791	მაცივარი	1930.00	1930.00000000	1
4019	მიკროტალღური ღუმელი	0.02	0.02000000	2
4606	გათბობის სისტემა	2030.00	2030.00000000	1
4672	ჭურჭლის სარეცხი მანქანა	1160.00	1160.00000000	1
4733	გაზქურა	1190.00	1190.00000000	1
4927	გაზქურა	940.00	940.00000000	1
4932	გამწოვი	590.00	590.00000000	1
4964	მიკროტალღური ღუმელი	580.00	580.00000000	1
5127	მაცივარი	3680.00	3680.00000000	4
5288	სარეცხი მანქანა	1490.00	1490.00000000	1
5629	სარეცხი მანქანა	1370.00	1370.00000000	1
6576	ავეჯი	1280.00	1280.00000000	1
6941	კონდიციონერი	1260.00	1260.00000000	1
7824	მტვერსასრუტი	180.00	180.00000000	1
8204	სარეცხი მანქანა	1630.00	1630.00000000	1
8301	გამწოვი	720.00	720.00000000	1
8735	საყინულე	630.00	630.00000000	1
8823	სასწორი	90.00	90.00000000	1
8889	აეროგრილი	560.00	560.00000000	1
9359	სარეცხი მანქანა	2580.00	2580.00000000	2
9382	თმის სტაილერი	820.00	820.00000000	1
9412	სარეცხი მანქანა	1360.00	1360.00000000	1
9652	თმის სტაილერი	1040.00	1040.00000000	1
9679	ჭურჭლის სარეცხი მანქანა	1390.00	1390.00000000	1
9728	მაცივარი	850.00	850.00000000	1
9770	სარეცხი მანქანა	1390.00	1390.00000000	1
9859	სარეცხი მანქანა	3080.00	3080.00000000	2
10214	სარეცხის საშრობი	2550.00	2550.00000000	1
10228	სენდვიჩის აპარატი	380.00	380.00000000	1
10461	ცენტრალური გათბობის ქვაბი	1890.00	1890.00000000	1
11095	აეროგრილი	700.00	700.00000000	1
11289	აეროგრილი	2200.00	2200.00000000	2
11612	აეროგრილი	560.00	560.00000000	1
11653	თმის ელექტრო სავარცხელი	130.00	130.00000000	1
11664	კონდიციონერი	1450.00	1450.00000000	1
11781	ჭურჭლის სარეცხი მანქანა	1140.00	1140.00000000	1
11870	მაცივარი	3030.00	3030.00000000	2
12074	სარეცხი მანქანა	1350.00	1350.00000000	1
12081	მაცივარი	2450.00	2450.00000000	1
12149	აუზი	910.00	910.00000000	2
12241	მაცივარი	1550.00	1550.00000000	1
12260	მაცივარი	500.00	500.00000000	1
12326	ტაფა	250.00	250.00000000	1
12560	სარეცხი მანქანა	1780.00	1780.00000000	1
12842	სარეცხი მანქანა საშრობით	4140.00	4140.00000000	2
12885	სარეცხი მანქანა	6290.00	6290.00000000	7
12957	მტვერსასრუტი	2650.00	2650.00000000	1
13024	ტელევიზორი 	950.00	950.00000000	1
13066	ტელევიზორი 	1360.00	1360.00000000	1
13091	ტელევიზორი 	2990.00	2990.00000000	1
13248	რობოტი მტვერსასრუტი	1640.00	1640.00000000	1
13259	წყლის გამაცხელებელი	660.00	660.00000000	1
13330	ტელევიზორი 	1720.00	1720.00000000	3
13332	მაცივარი	520.00	520.00000000	1
13410	ტელევიზორი 	560.00	560.00000000	1
13444	სარეცხი მანქანა საშრობით	2580.00	2580.00000000	1
13535	ტელევიზორი 	1000.00	1000.00000000	1
13568	ელექტრო სავარცხელი	370.00	370.00000000	1
13591	ტელევიზორი 	620.00	620.00000000	1
13608	ტელევიზორი 	860.00	860.00000000	1
13718	სარეცხი მანქანა	5310.00	5310.00000000	3
13755	მაცივარი	1390.00	1390.00000000	1
13835	აეროგრილი	0.01	0.01000000	1
13926	მიკროტალღური ღუმელი	340.00	340.00000000	1
14208	ჭურჭლის სარეცხი მანქანა	910.00	910.00000000	1
14221	მაცივარი	2080.00	2080.00000000	2
14244	მაცივარი	2370.00	2370.00000000	1
14248	ტელევიზორი 	1680.00	1680.00000000	1
14269	მაცივარი	2160.00	2160.00000000	1
14298	საყინულე	630.00	630.00000000	1
14299	ჩასაშენებელი ღუმელი	1500.00	1500.00000000	1
14477	მტვერსასრუტი	310.00	310.00000000	1
14663	მიქსერი	1.03	1.03000000	4
14695	ყავის აპარატი	630.00	630.00000000	1
14713	აეროგრილი	180.00	180.00000000	1
14728	სარეცხი მანქანა	1020.00	1020.00000000	1
15187	საყინულე	1540.00	1540.00000000	1
15563	ტაფა	230.00	230.00000000	1
15578	თმის საშრობი	230.00	230.00000000	1
15690	ხელის ბლენდერი	290.00	290.00000000	1
15792	ტელეფონი	490.00	490.00000000	1
15858	ტელეფონი	7160.00	7160.00000000	10
16019	აეროგრილი	290.00	290.00000000	1
16048	ქვაბი	80.00	80.00000000	1
16153	სარეცხი მანქანა	1640.00	1640.00000000	1
16471	ტელეფონი	1240.00	1240.00000000	1
17019	თმის სტაილერი	1260.00	1260.00000000	1
17033	დენის წყლის გამაცხელებელი	990.00	990.00000000	2
17130	მაცივარი	966.00	966.00000000	1
17158	ბაღის საქანელა	500.00	500.00000000	2
17255	ჩასაშენებელი მიკროტალღური ღუმელი	1040.00	1040.00000000	1
17296	ტელეფონი	760.00	760.00000000	1
17310	საქანელა	230.00	230.00000000	1
17311	მტვერსასრუტი	600.00	600.00000000	2
17327	ტელევიზორი 	1330.00	1330.00000000	1
17560	ავეჯი,გარე ავეჯი,ბაღის საქანელები	230.00	230.00000000	1
17581	ტელეფონი	860.00	860.00000000	1
17594	ორთქლის აპარატი	900.00	900.00000000	1
17701	ავეჯი,გარე ავეჯი,გარე ავეჯის კომპლექტი	1380.00	1380.00000000	1
17712	ავეჯი,გარე ავეჯი,გარე მაგიდა	90.00	90.00000000	1
17863	გარე ავეჯი,ბაღის საქანელები	770.00	770.00000000	1
17880	ავეჯი,გარე ავეჯი,გარე ავეჯის კომპლექტი	1520.00	1520.00000000	2
17972	მიქსერი	470.00	470.00000000	1
18309	კონდიციონერი	2280.00	2280.00000000	1
18371	ავეჯი,საწოლი,საძინებელი	1150.00	1150.00000000	1
18422	სილამაზე,თავის მოვლა,თმის სტაილერი	1260.00	1260.00000000	1
18552	მობილურები & აქსესუარები,სმარტფონები	5160.00	5160.00000000	4
18562	მობილურები & აქსესუარები,სმარტფონები	8890.00	8890.00000000	13
18577	ტელევიზორები & აუდიო,ტელევიზორები	560.00	560.00000000	1
18640	ავეჯი,საწოლი,საძინებელი	1150.00	1150.00000000	1
18716	ავეჯი,გარე ავეჯი,გარე ავეჯის კომპლექტი	220.00	220.00000000	1
18902	მტვერსასრუტი	510.00	510.00000000	1
19063	ავეჯი,გარე ავეჯი,ბაღის საქანელები	640.00	640.00000000	2
19091	აეროგრილი	0.01	0.01000000	1
19148	ტელეფონი	540.00	540.00000000	1
19150	ტელეფონი	940.00	940.00000000	2
19156	ტელეფონი	1500.00	1500.00000000	1
19162	მობილურები & აქსესუარები,სმარტფონები	1600.00	1600.00000000	1
19167	მობილურები & აქსესუარები,სმარტფონები	3280.00	3280.00000000	2
19189	მობილურები & აქსესუარები,სმარტფონები	1600.00	1600.00000000	2
19215	აქსესუარები,საათები,მამაკაცის საათები	640.00	640.00000000	2
19243	მობილურები & აქსესუარები,სმარტფონები	3280.00	3280.00000000	2
19251	ტელეფონი	5040.00	5040.00000000	3
19255	ტელეფონი	3210.00	3210.00000000	4
19300	მობილურები & აქსესუარები,სმარტფონები	8200.00	8200.00000000	5
19347	ტელეფონი	1620.00	1620.00000000	1
19364	ტელეფონი	1700.00	1700.00000000	1
19368	მაცივარი	3390.00	3390.00000000	1
19370	მატრასები	750.00	750.00000000	1
19398	ტელეფონი	1210.00	1210.00000000	1
19432	ტელეფონი	1850.00	1850.00000000	1
19445	ტელეფონი	860.00	860.00000000	1
19452	ტელეფონი	3340.00	3340.00000000	2
19486	მობილურები & აქსესუარები,სმარტფონები	860.00	860.00000000	1
19488	საკერავი მანქანა	820.00	820.00000000	1
19510	მობილურები & აქსესუარები,სმარტფონები	4560.00	4560.00000000	3
19511	სარეცხი მანქანა	2100.00	2100.00000000	2
19553	ტელეფონი	3000.00	3000.00000000	2
19588	ტელევიზორი 	1200.00	1200.00000000	1
19603	საქანელა	970.00	970.00000000	1
19645	მტვერსასრუტი	900.00	920.00000000	1
19733	ავეჯი,მატრასი,საძინებელი	560.00	560.00000000	1
19889	მტვერსასრუტი	1070.00	1070.00000000	1
19899	ტელეფონი	1500.00	1500.00000000	1
19939	ავეჯი,გარე ავეჯი,ბაღის საქანელები	640.00	640.00000000	2
20029	კონდიციონერი	1100.00	1100.00000000	1
20214	ტელეფონი	1060.00	1060.00000000	1
20224	ხელის ბლენდერი	1.01	1.01000000	2
20295	ავეჯი,დივანი	2260.00	2260.00000000	1
20353	კონდიციონერი	4340.00	4340.00000000	2
20409	კონდიციონერი	1540.00	1540.00000000	2
20499	აქსესუარები,საათები,მამაკაცის საათები	220.00	220.00000000	1
20552	ხორცსაკეპი	1020.00	1020.00000000	2
20555	კონდენციონერი	1670.00	1670.00000000	1
20776	ტელევიზორები & აუდიო,ტელევიზორები,ტელევიზორი	580.00	580.00000000	1
20952	კონდიციონერი	1670.00	1670.00000000	1
21046	კარ-ფანჯარა & ფურნიტურა,შიდა კარები	240.00	240.00000000	1
21048	თმის საშრობი	250.00	250.00000000	1
21333	საყოფაცხოვრებო ტექნიკა,ჭურჭლის სარეცხი მანქანა	1410.00	1410.00000000	1
21346	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1540.00	1540.00000000	1
21356	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	6300.00	6300.00000000	7
21367	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	3200.00	3200.00000000	2
21392	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	2320.00	2320.00000000	2
21458	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	2020.00	2020.00000000	1
21461	საყოფაცხოვრებო ტექნიკა,საყინულე	900.00	900.00000000	1
21500	საყოფაცხოვრებო ტექნიკა,ჭურჭლის სარეცხი მანქანა	1160.00	1160.00000000	1
21540	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1540.00	1540.00000000	1
21554	აქსესუარები,ყელსაბამი	270.00	270.00000000	1
21587	აუზი	441.00	441.00000000	1
21696	მიკროტალღური ღუმელი	0.02	0.02000000	3
21737	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანა საშრობით,სარეცხი მანქანები,სარეცხი მანქანა	1830.00	1830.00000000	1
21749	გარე ავეჯი,გარე ავეჯის კომპლექტი	1140.00	1140.00000000	3
21768	ავეჯი,დივანი,რბილი ავეჯი	2560.00	2560.00000000	2
21775	საყოფაცხოვრებო ტექნიკა,ჩასაშენებელი ტექნიკა,ჩასაშენებელი ელექტრო ღუმელი	1200.00	1200.00000000	1
21807	ტელეფონი	375.00	375.00000000	1
21823	გარე ავეჯი,გარე ავეჯის კომპლექტი	430.00	430.00000000	1
21828	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	2300.00	2310.00000000	2
21875	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1260.00	1260.00000000	1
21930	კონდიციონერი	1200.00	1200.00000000	1
21931	ხელის ბლენდერი	0.01	0.01000000	1
21968	საყოფაცხოვრებო ტექნიკა,ჭურჭლის სარეცხი მანქანა	910.00	910.00000000	1
22013	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1580.00	1580.00000000	1
22083	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1580.00	1580.00000000	1
22183	კონდიციონერი	1670.00	1670.00000000	1
22269	კონდიციონერი	2380.00	2380.00000000	1
22311	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	7690.00	7690.00000000	8
22312	წვრილი ტექნიკა,სამზარეულოს წვრილი ტექნიკა,ტოსტერი,გრილ ტოსტერი	90.00	90.00000000	1
22329	საყოფაცხოვრებო ტექნიკა,საყინულე	630.00	630.00000000	1
22374	საყოფაცხოვრებო ტექნიკა,საყინულე	1540.00	1540.00000000	1
22388	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	2340.00	2340.00000000	2
22424	ტელევიზორები & აქსესუარები,ტელევიზორი	2320.00	2320.00000000	1
22453	ტელევიზორები & აქსესუარები,ტელევიზორი	2130.00	2130.00000000	1
22483	საყოფაცხოვრებო ტექნიკა,წყლის გამაცხელებელი	1920.00	1920.00000000	2
22489	თმის მოვლა,თმის სტაილერი	820.00	820.00000000	1
22490	სამზარეულოს ტექნიკა,ბლენდერი	960.00	960.00000000	2
22498	სპორტი & გართობა,ველოსპორტი,ველოსიპედი	800.00	800.00000000	1
22503	სამზარეულოს ტექნიკა,აეროგრილი	1100.00	1100.00000000	1
22505	თმის მოვლა,თმის სტაილერი	1260.00	1260.00000000	1
22516	სამზარეულოს ტექნიკა,ბლენდერი	140.00	140.00000000	1
22519	საყოფაცხოვრებო ტექნიკა,წყლის გამაცხელებელი	1440.00	1440.00000000	2
22524	მობილურები & აქსესუარები,სმარტფონები	4250.00	4250.00000000	4
22570	ქვაბების ნაკრები,სახლი & დეკორი,სამზარეულო & ჭურჭელი	310.00	310.00000000	1
22582	მტვერსასრუტი	570.00	570.00000000	1
22588	მტვერსასრუტი	540.00	540.00000000	2
22597	ტელევიზორები & აქსესუარები,ტელევიზორი	2260.00	2260.00000000	3
22612	მობილურები & აქსესუარები,სმარტფონები	650.00	650.00000000	1
22620	ბავშვთა სამყარო,ველოეტლები	620.00	620.00000000	1
22621	თმის მოვლა,თმის უთო,სილამაზე &თავის მოვლა	470.00	470.00000000	1
22624	თმის მოვლა,თმის სტაილერი,სილამაზე &თავის მოვლა	6300.00	6300.00000000	5
22630	ტელევიზორები & აქსესუარები,ტელევიზორი	580.00	580.00000000	1
22644	კონდიციონერი,კონდიციონერი & გაგრილების სისტემები	1060.00	1060.00000000	1
22645	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1240.00	1240.00000000	1
22647	სამზარეულოს ტექნიკა,სამზარეულოს კომბაინი	720.00	720.00000000	1
22651	კარკასული აუზი	510.00	510.00000000	1
22666	მტვერსასრუტი	560.00	560.00000000	1
22668	მტვერსასრუტი	820.00	820.00000000	1
22669	სპორტი & გართობა,ველოსპორტი,სკუტერი	140.00	140.00000000	1
22677	თმის მოვლა,თმის სტაილერი,სილამაზე &თავის მოვლა	7560.00	7560.00000000	6
22683	საყოფაცხოვრებო ტექნიკა,წყლის გამაცხელებელი	1100.00	1100.00000000	1
22689	მტვერსასრუტი	250.00	250.00000000	1
22691	სპორტი & გართობა,ველოსპორტი,ველოსიპედი	2220.00	2220.00000000	2
22703	ავეჯი,ყავის მაგიდა,რბილი ავეჯი,მისაღები	460.00	460.00000000	1
22710	რობოტი მტვერსასრუტი	2140.00	2140.00000000	1
22721	თმის მოვლა,ეპილატორი,სილამაზე &თავის მოვლა	170.00	170.00000000	1
22725	ტელევიზორები & აქსესუარები,ტელევიზორი	1680.00	1680.00000000	1
22738	სამზარეულოს ტექნიკა,აეროგრილი	560.00	560.00000000	1
22741	საყოფაცხოვრებო ტექნიკა,გაზქურა	940.00	940.00000000	1
22744	მტვერსასრუტი	540.00	540.00000000	2
22758	ავეჯი,მატრასი	1000.00	1000.00000000	1
22766	რობოტი მტვერსასრუტი	2140.00	2140.00000000	1
22768	ტელეფონი	2400.00	2400.00000000	2
22779	ტელევიზორები & აქსესუარები,ტელევიზორი	390.00	390.00000000	1
22783	ელექტრო სკუტერი	4940.00	4940.00000000	2
22788	ჭურჭლის სარეცხი მანქანა	1510.00	1510.00000000	1
22800	რობოტი მტვერსასრუტი	3030.00	3030.00000000	1
22806	რობოტი მტვერსასრუტი	2660.00	2660.00000000	2
22820	სამზარეულოს ტექნიკა,აეროგრილი	520.00	520.00000000	1
22834	სახლი & დეკორი,უთო	340.00	340.00000000	1
22850	თმის მოვლა,თმის უთო,სილამაზე &თავის მოვლა	250.00	250.00000000	1
22859	სამზარეულოს ტექნიკა,მიკროტალღური ღუმელი	460.00	460.00000000	1
22884	სპორტი & გართობა,სკუტერი	2470.00	2470.00000000	1
22886	სპორტი & გართობა,სკუტერი	3600.00	3600.00000000	2
22888	საწოლი	1150.00	1150.00000000	1
22898	სახლი & დეკორი,აუზი,აუზი & აქსესუარები,ეზო & გარე სივრცე	3170.00	3170.00000000	1
22899	გარე ავეჯი,ბაღის საქანელები	870.00	870.00000000	3
22909	ავეჯი,ყავის მაგიდა,რბილი ავეჯი,მისაღები	560.00	560.00000000	1
22911	საყოფაცხოვრებო ტექნიკა,ჭურჭლის სარეცხი მანქანა	3680.00	3680.00000000	2
22929	ელექტრო სკუტერი	3200.00	3200.00000000	2
22935	გარე ავეჯი,ბაღის საქანელები	670.00	670.00000000	2
22946	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1290.00	1290.00000000	1
22963	საყოფაცხოვრებო ტექნიკა,წყლის გამაცხელებელი,გათბობა	490.00	490.00000000	1
22979	რობოტი მტვერსასრუტი	6680.00	6680.00000000	1
22980	ავეჯი,მატრასი,საძინებელი	560.00	560.00000000	1
23000	მიქსერი	0.01	0.01000000	1
23034	სამზარეულოს ტექნიკა,ბლენდერი	810.00	810.00000000	1
23043	საყოფაცხოვრებო ტექნიკა,წყლის გამაცხელებელი	1320.00	1320.00000000	2
23053	სპორტი & გართობა,სკუტერი	2110.00	2110.00000000	1
23079	ტელევიზორები & აქსესუარები,ტელევიზორი	1100.00	1100.00000000	1
23083	გარე ავეჯი,ბაღის საქანელები	270.00	270.00000000	1
23092	სამზარეულოს ტექნიკა,აეროგრილი	1100.00	1100.00000000	1
23096	თმის მოვლა,წვერსაპარსი,სილამაზე &თავის მოვლა	960.00	960.00000000	2
23117	სამზარეულოს ტექნიკა,აეროგრილი	1040.00	1040.00000000	1
23138	ელექტრო სკუტერი	5200.00	5200.00000000	3
23159	სახლი & დეკორი,აუზი,აუზი & აქსესუარები,ეზო & გარე სივრცე	1640.00	1640.00000000	1
23178	ტელევიზორები & აქსესუარები,ტელევიზორი	860.00	860.00000000	1
23184	ბუდე საქანელა	290.00	290.00000000	1
23185	საყოფაცხოვრებო ტექნიკა,გამწოვი	590.00	590.00000000	1
23196	სამზარეულოს ტექნიკა,აეროგრილი	1160.00	1160.00000000	1
23202	სამზარეულოს ტექნიკა,ტოსტერი	170.00	170.00000000	1
23206	სახლი & დეკორი,აუზი,აუზი & აქსესუარები,ეზო & გარე სივრცე	1640.00	1640.00000000	1
23217	სპორტი & გართობა,სათამაშოები,ელექტრო მანქანები	820.00	820.00000000	1
23220	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანები,სარეცხი მანქანა	1640.00	1640.00000000	1
23225	ტელეფონი	2880.00	2880.00000000	2
23226	საყოფაცხოვრებო ტექნიკა,გამწოვი	920.00	920.00000000	1
23228	მობილურები & აქსესუარები,სმარტფონები	3660.00	3660.00000000	3
23244	სამზარეულოს ტექნიკა,სამზარეულოს კომბაინი	1040.00	1040.00000000	1
23249	სარეცხი მანქანები,სარეცხი მანქანა	1410.00	1410.00000000	1
23263	ქვაბი,სახლი & დეკორი,სამზარეულო & ჭურჭელი	140.00	140.00000000	1
23281	მაცივარი	2520.00	2520.00000000	1
23301	კონდიციონერი,კონდიციონერი & გაგრილების სისტემები	860.00	860.00000000	1
23312	მტვერსასრუტი	470.00	470.00000000	1
23316	სამზარეულოს ტექნიკა,აეროგრილი	700.00	700.00000000	1
23344	ტელევიზორები & აქსესუარები,ტელევიზორი	570.00	570.00000000	1
23363	მაცივარი,მაცივრები	7650.00	7650.00000000	5
23364	საყოფაცხოვრებო ტექნიკა,სარეცხი მანქანა საშრობით,სარეცხი მანქანები,სარეცხი მანქანა	2130.00	2130.00000000	1
23373	მტვერსასრუტი	530.00	530.00000000	1
23417	გარე ავეჯი,გარე ავეჯის კომპლექტი	370.00	370.00000000	1
23422	კონდიციონერი,კონდიციონერი & გაგრილების სისტემები	1670.00	1670.00000000	1
23427	თმის მოვლა,თმის სტაილერი,სილამაზე &თავის მოვლა	1640.00	1640.00000000	2
23436	მაცივარი,მაცივრები	4240.00	4240.00000000	4
23460	ყავის აპარატი	940.00	940.00000000	1
23474	თმის მოვლა,თმის სტაილერი,სილამაზე &თავის მოვლა	280.00	280.00000000	1
23475	მაცივარი,მაცივრები	2160.00	2160.00000000	3
23529	მობილურები & აქსესუარები,სმარტფონები	4230.00	4230.00000000	9
23544	ცენტრალური გათბობის ქვაბი,გათბობა	2030.00	2030.00000000	1
23557	მოტოცელი	490.00	490.00000000	1
23558	ტელევიზორები & აქსესუარები,ტელევიზორი	1530.00	1530.00000000	3
23562	სამზარეულოს ტექნიკა,პურის საცხობი	410.00	410.00000000	1
23567	თმის მოვლა,თმის საშრობი & სავარცხელი,სილამაზე &თავის მოვლა	560.00	560.00000000	1
23574	სარეცხი მანქანები,სარეცხი მანქანა	1700.00	1700.00000000	1
23593	სახლი & დეკორი,ქიმწმენდის აპარატი,სახლის მოვლა	660.00	660.00000000	1
23598	მაცივარი,მაცივრები	1600.00	1600.00000000	2
23616	მობილურები & აქსესუარები,სმარტფონები	8380.00	8380.00000000	5
23621	მობილურები & აქსესუარები,სმარტფონები	6000.00	6000.00000000	4
23626	მობილურები & აქსესუარები,სმარტფონები	950.00	950.00000000	1
23630	ყავის აპარატი	1580.00	1580.00000000	1
23639	სახლი & დეკორი,მაღალი წნევით რეცხვის აპარატი,სახლის მოვლა	1450.00	1450.00000000	1
23647	მობილურები & აქსესუარები,სმარტფონები	1410.00	1410.00000000	3
23660	მობილურები & აქსესუარები,სმარტფონები	8440.00	8440.00000000	5
23665	აეროგრილი,აეროგრილი & გრილი	1020.00	1020.00000000	2
23666	მობილურები & აქსესუარები,სმარტფონები	3210.00	3210.00000000	4
23688	სპორტი & გართობა,ველოსპორტი,ველოსიპედი	170.00	170.00000000	1
23713	მობილურები & აქსესუარები,სმარტფონები	1500.00	1500.00000000	1
23734	სამზარეულოს ტექნიკა,აეროგრილი	560.00	560.00000000	1
23736	მაცივარი,მაცივრები	520.00	520.00000000	1
23739	მაცივარი,მაცივრები	2220.00	2220.00000000	1
