period	category	brand	deal_type	sales	cogs	qty
2026-01	none	none	installment	285170.00	167430.00	291
2026-01	აეროგრილი	AZRUM	installment	490.00	299.00	1
2026-01	აეროგრილი	FRANKO	installment	1830.00	956.00	4
2026-01	აეროგრილი	Hisense	installment	270.00	160.00	1
2026-01	აეროგრილი	MIDEA	installment	1740.00	1050.00	3
2026-01	აეროგრილი	Ninja	installment	2450.00	1480.00	3
2026-01	აეროგრილი	NUTRIBULLET	installment	590.00	303.00	1
2026-01	აეროგრილი	Panasonic	installment	1040.00	587.00	2
2026-01	აეროგრილი	Zilan	installment	210.00	125.00	1
2026-01	ავეჯი	N/A	installment	7370.00	4491.00	7
2026-01	ავეჯი	ბრენდის გარეშე	installment	2800.00	1660.00	3
2026-01	ბლენდერი	ARDESTO	installment	120.00	67.00	1
2026-01	ბლენდერი	Ninja	installment	670.00	400.00	1
2026-01	ბლენდერი	SENCOR	installment	150.00	89.00	1
2026-01	გაზის გამათბობელი	AKOG	installment	4880.00	2920.00	4
2026-01	გაზის გამათბობელი	ERSEL	installment	5860.00	3280.00	5
2026-01	გაზის წყლის გამაცხელებელი	INNOVITA	installment	980.00	532.00	1
2026-01	გაზის წყლის გამაცხელებელი	KARIZZMA	installment	2160.00	1310.00	2
2026-01	გაზის წყლის გამაცხელებელი	MARAZZI	installment	9490.00	5620.00	13
2026-01	გაზის წყლის გამაცხელებელი	MIDEA	installment	4010.00	2400.00	4
2026-01	გაზქურა	BEKO	installment	5270.00	2789.00	3
2026-01	გაზქურა	DIXI	installment	3330.00	1900.00	4
2026-01	გაზქურა	Simfer	installment	6100.00	3575.00	6
2026-01	გამწოვი	BEKO	installment	570.00	295.00	1
2026-01	გამწოვი	Simfer	installment	530.00	1.00	1
2026-01	დანების ნაკრები	ARDESTO	installment	270.00	127.00	3
2026-01	დენის წყლის გამაცხელებელი	MIDEA	installment	750.00	450.00	1
2026-01	დინამიკი	FRANKO	installment	580.00	297.00	1
2026-01	ელ. გამათბობელი	VOX	installment	210.00	100.00	1
2026-01	ელექტრო გამათბობელი	SENCOR	installment	490.00	249.00	1
2026-01	ელექტრო გამათბობელი	Zilan	installment	330.00	180.00	1
2026-01	ელექტრო სკუტერი	FRANKO	installment	5260.00	2848.00	4
2026-01	ელექტრო ღუმელი	AZRUM	installment	640.00	391.00	1
2026-01	ელექტრო ღუმელი	Hisense	installment	490.00	230.00	1
2026-01	ელექტრო ღუმელი	SCHAUB	installment	450.00	270.00	1
2026-01	ელექტრო ღუმელი	Schaub Lorenz	installment	725.00	430.00	2
2026-01	ელექტრო ჩაიდანი	FRANKO	installment	320.00	171.00	2
2026-01	ელექტრო ჩაიდანი	SENCOR	installment	100.00	41.00	1
2026-01	ელქტერო გამათბობელი	BEKO	installment	180.00	110.00	1
2026-01	ვაფლის აპარატი	FRANKO	installment	140.00	69.00	1
2026-01	თმის გამასწორებელი	PHILIPS	installment	290.00	155.00	1
2026-01	თმის და წვერის საჭრელი	PHILIPS	installment	240.00	134.00	1
2026-01	თმის დასახვევი	REMINGTON	installment	160.00	129.00	1
2026-01	თმის საკრეჭი	FRANKO	installment	100.00	52.00	1
2026-01	თმის საკრეჭი	Panasonic	installment	220.00	126.00	1
2026-01	თმის საშრობი	Camry	installment	90.00	37.00	1
2026-01	თმის საშრობი	FRANKO	installment	250.00	139.00	1
2026-01	თმის საშრობი	REMINGTON	installment	510.00	227.00	2
2026-01	თმის საჭრელი	Panasonic	installment	240.00	134.00	1
2026-01	თმის საჭრელი	PHILIPS	installment	310.00	159.00	1
2026-01	თმის სტაილერი	FRANKO	installment	1680.00	924.00	6
2026-01	თმის სტაილერი	SHARK	installment	7930.00	4800.00	7
