product_id	start_price	final_price	deal_type
12460	420.00	690.00	installment
13789	1145.00	2100.00	installment
474	1490.00	2780.00	installment
12990	764.00	1660.00	installment
11751	294.00	520.00	installment
13591	368.00	620.00	installment
11751	294.00	520.00	installment
15074	708.00	1160.00	installment
3856	535.00	880.00	installment
14998	125.00	300.00	installment
15117	89.00	150.00	installment
15246	2883.00	4860.00	installment
4871	770.00	1320.00	installment
11751	294.00	520.00	installment
11788	591.00	970.00	installment
15270	510.00	850.00	installment
14104	495.00	850.00	installment
15269	1212.00	2120.00	installment
799	235.00	450.00	installment
13877	650.00	1090.00	installment
721	185.00	340.00	installment
15021	455.00	850.00	installment
13087	125.00	210.00	installment
14785	70.00	160.00	installment
14396	919.00	1520.00	installment
15269	1294.00	2120.00	installment
15290	1580.00	2660.00	installment
13703	737.00	1420.00	installment
12250	82.00	160.00	installment
15374	230.00	490.00	installment
14779	1765.00	2900.00	installment
4411	550.00	970.00	installment
14976	42.00	90.00	installment
15299	1580.00	2660.00	installment
13065	850.00	1390.00	installment
9227	325.00	680.00	installment
5004	615.00	1090.00	installment
11968	930.00	1530.00	installment
7460	307.00	570.00	installment
9290	790.00	1420.00	installment
9154	350.00	580.00	installment
15304	391.00	640.00	installment
10200	799.00	1570.00	installment
8577	238.00	450.00	installment
11781	650.00	1090.00	installment
15312	1700.00	2780.00	installment
14632	2895.00	4730.00	installment
1700	895.00	1570.00	installment
13767	1130.00	1850.00	installment
9735	975.00	1480.00	installment
9773	730.00	1090.00	installment
13878	686.00	1210.00	installment
13213	600.00	920.00	installment
7323	745.00	1220.00	installment
9685	499.00	820.00	installment
9685	499.00	820.00	installment
11781	599.00	1090.00	installment
14612	919.00	1530.00	installment
14898	305.00	520.00	installment
12267	532.00	980.00	installment
4448	640.00	1070.00	installment
14396	915.00	1520.00	installment
15420	274.00	530.00	installment
5312	70.00	150.00	installment
6806	70.00	140.00	installment
8412	106.00	220.00	installment
8413	127.00	260.00	installment
8601	106.00	220.00	installment
