d	f	t	n	apps
2026-09-01	4	6	9	9
2026-09-01	4	7	36	36
2026-09-01	4	8	8	8
2026-09-01	7	6	15	15
2026-09-01	7	8	20	19
2026-09-01	7	12	10	10
2026-09-01	8	6	3	3
2026-09-01	8	15	4	3
2026-09-01	8	16	5	5
2026-09-01	9	10	1	1
2026-09-01	15	7	1	1
2026-09-01	15	8	3	3
2026-09-01	16	17	1	1
2026-09-01	17	9	1	1
2026-09-02	4	6	41	41
2026-09-02	4	7	106	106
2026-09-02	4	8	28	28
2026-09-02	4	12	13	13
2026-09-02	7	6	15	15
2026-09-02	7	8	45	44
2026-09-02	7	12	19	19
2026-09-02	8	6	13	13
2026-09-02	8	15	23	20
2026-09-02	8	16	15	15
2026-09-02	9	10	7	7
2026-09-02	10	11	3	3
2026-09-02	11	1	3	3
2026-09-02	15	7	7	7
2026-09-02	15	8	10	9
2026-09-02	15	12	1	1
2026-09-02	16	9	5	5
2026-09-02	16	12	2	2
2026-09-02	16	17	4	4
2026-09-02	17	6	10	10
2026-09-02	17	9	3	3
2026-09-03	4	6	26	26
2026-09-03	4	7	43	43
2026-09-03	4	8	21	21
2026-09-03	4	12	25	25
2026-09-03	7	6	11	11
2026-09-03	7	8	33	32
2026-09-03	7	12	13	13
2026-09-03	8	6	44	44
2026-09-03	8	15	18	17
2026-09-03	8	16	22	22
2026-09-03	9	10	20	20
2026-09-03	9	12	1	1
2026-09-03	10	11	22	22
2026-09-03	11	1	22	22
2026-09-03	11	11	1	1
2026-09-03	15	7	2	2
2026-09-03	15	8	5	5
2026-09-03	15	12	3	3
2026-09-03	16	9	7	7
2026-09-03	16	12	2	2
2026-09-03	16	17	11	11
2026-09-03	17	9	8	8
2026-09-04	4	6	28	28
2026-09-04	4	7	45	45
2026-09-04	4	8	28	28
2026-09-04	4	12	17	17
2026-09-04	7	6	12	12
2026-09-04	7	8	29	28
2026-09-04	7	12	16	16
2026-09-04	8	6	42	42
2026-09-04	8	15	14	13
2026-09-04	8	16	35	35
2026-09-04	9	10	38	38
2026-09-04	9	12	2	2
2026-09-04	10	11	35	35
2026-09-04	11	1	29	29
2026-09-04	15	6	2	2
2026-09-04	15	7	4	4
2026-09-04	15	8	11	10
2026-09-04	15	12	5	5
2026-09-04	16	6	1	1
2026-09-04	16	9	18	18
2026-09-04	16	17	17	17
2026-09-04	17	9	18	18
2026-09-04	17	12	2	2
2026-09-05	4	6	52	52
2026-09-05	4	7	1	1
2026-09-05	4	8	51	51
2026-09-05	4	12	19	19
2026-09-05	7	6	5	5
2026-09-05	7	8	5	5
2026-09-05	7	12	1	1
2026-09-05	8	6	20	20
2026-09-05	8	15	15	14
2026-09-05	8	16	28	28
2026-09-05	9	6	1	1
2026-09-05	9	10	31	31
2026-09-05	9	12	1	1
2026-09-05	10	11	33	33
2026-09-05	11	1	32	32
2026-09-05	15	6	1	1
2026-09-05	15	8	10	9
2026-09-05	15	12	1	1
2026-09-05	16	9	7	7
2026-09-05	16	17	26	26
2026-09-05	17	9	26	26
2026-09-07	4	6	75	75
2026-09-07	4	7	45	45
2026-09-07	4	8	66	66
2026-09-07	4	12	34	34
2026-09-07	7	6	15	15
2026-09-07	7	8	24	24
2026-09-07	7	12	17	17
2026-09-07	8	6	45	45
2026-09-07	8	15	7	7
2026-09-07	8	16	48	48
2026-09-07	9	6	2	2
2026-09-07	9	9	1	1
2026-09-07	9	10	39	39
2026-09-07	9	12	1	1
2026-09-07	10	11	33	33
2026-09-07	10	12	1	1
2026-09-07	11	1	29	29
2026-09-07	15	7	1	1
2026-09-07	15	8	6	6
2026-09-07	15	12	1	1
2026-09-07	16	9	13	13
2026-09-07	16	12	1	1
2026-09-07	16	17	25	25
2026-09-07	17	9	25	25
2026-09-08	4	6	79	79
2026-09-08	4	7	35	35
2026-09-08	4	8	71	71
2026-09-08	4	12	57	57
2026-09-08	4	13	50	50
2026-09-08	7	6	11	11
2026-09-08	7	8	11	11
2026-09-08	7	12	7	7
2026-09-08	8	6	43	43
2026-09-08	8	15	9	8
2026-09-08	8	16	36	36
2026-09-08	9	6	1	1
2026-09-08	9	10	36	36
2026-09-08	9	12	2	2
2026-09-08	10	6	2	2
2026-09-08	10	11	39	39
2026-09-08	10	12	1	1
2026-09-08	11	1	40	40
2026-09-08	12	7	1	1
2026-09-08	15	6	3	3
2026-09-08	15	7	2	2
2026-09-08	15	8	8	7
2026-09-08	15	12	1	1
2026-09-08	16	6	4	4
2026-09-08	16	9	16	16
2026-09-08	16	17	20	20
2026-09-08	17	9	20	20
2026-09-09	4	6	54	54
2026-09-09	4	7	22	22
2026-09-09	4	8	45	45
2026-09-09	4	12	26	26
2026-09-09	7	6	8	8
2026-09-09	7	8	17	17
2026-09-09	7	12	9	9
2026-09-09	8	6	32	32
2026-09-09	8	15	5	5
2026-09-09	8	16	28	28
2026-09-09	9	10	11	11
2026-09-09	10	11	9	9
2026-09-09	10	12	1	1
2026-09-09	11	1	7	7
2026-09-09	11	6	1	1
2026-09-09	15	6	1	1
2026-09-09	15	7	2	2
2026-09-09	15	8	1	1
2026-09-09	16	9	2	2
2026-09-09	16	12	2	2
2026-09-09	16	17	9	9
2026-09-09	17	9	8	8
