d	f	reason	n
2026-09-01	4	დუბლირებული განაცხადი	4
2026-09-01	4	მოვალეთა რეესტრი	3
2026-09-01	4		2
2026-09-01	7	ვერ ვუკავშირდები	14
2026-09-01	7	მოვალეთა რეესტრი	1
2026-09-01	8	შეუსაბამო მონაცემები	2
2026-09-01	8	დასაფარია მიმდინარე	1
2026-09-02	4	დუბლირებული განაცხადი	22
2026-09-02	4	მოვალეთა რეესტრი	15
2026-09-02	4		1
2026-09-02	4	შეუსაბამო მონაცემები	1
2026-09-02	4	პროდუქციის არ ქონა	1
2026-09-02	4	სატესტო	1
2026-09-02	7	მოვალეთა რეესტრი	7
2026-09-02	7	დუბლირებული განაცხადი	3
2026-09-02	7	ვერ ვუკავშირდები	3
2026-09-02	7	პროდუქციის არ ქონა	1
2026-09-02	7		1
2026-09-02	8	შეუსაბამო მონაცემები	11
2026-09-02	8	დასაფარია მიმდინარე	2
2026-09-02	17	დუბლირებული განაცხადი	10
2026-09-03	4	მოვალეთა რეესტრი	17
2026-09-03	4	დუბლირებული განაცხადი	7
2026-09-03	4	ვერ ვუკავშირდები	2
2026-09-03	7	ვერ ვუკავშირდები	4
2026-09-03	7		2
2026-09-03	7	უნდა დაემატებოინა ნივთი მეთვიტონ დაგირეკავო მაგრამ არ პსუოხსბ	1
2026-09-03	7	შეუსაბამო მონაცემები	1
2026-09-03	7	მოვალეთა რეესტრი	1
2026-09-03	7	დუბლირებული განაცხადი	1
2026-09-03	7	გადახდისუუნარო	1
2026-09-03	8	შეუსაბამო მონაცემები	36
2026-09-03	8	დასაფარია მიმდინარე	4
2026-09-03	8	ხიშნიკი	2
2026-09-03	8	მოვალეთა რეესტრი	1
2026-09-03	8	დუბლირებული განაცხადი	1
2026-09-04	4	მოვალეთა რეესტრი	15
2026-09-04	4	დუბლირებული განაცხადი	10
2026-09-04	4	გადახდისუუნარო	2
2026-09-04	4	ვერ ვუკავშირდები	1
2026-09-04	7	დუბლირებული განაცხადი	6
2026-09-04	7	შეუსაბამო მონაცემები	2
2026-09-04	7	პროდუქციის არ ქონა	2
2026-09-04	7	ვერ ვუკავშირდები	1
2026-09-04	7		1
2026-09-04	8	შეუსაბამო მონაცემები	32
2026-09-04	8	დასაფარია მიმდინარე	8
2026-09-04	8	პროდუქციის არ ქონა	1
2026-09-04	8	მოვალეთა რეესტრი	1
2026-09-04	15	დასაფარია მიმდინარე	1
2026-09-04	15	ვერ ვუკავშირდები ჩანაწერიც არააა	1
2026-09-04	16	დუბლირებული განაცხადი	1
2026-09-05	4	მოვალეთა რეესტრი	22
