dim	k	n	amount	rem
age	0	627	707458.57	654739.82
age	1	998	1206743.61	1055362.22
age	10	77	98518.32	31932.33
age	11	17	23969.59	10018.12
age	12	13	17049.20	9009.68
age	13	27	46979.70	26219.48
age	14	23	35651.91	21748.50
age	15	16	21036.14	10900.41
age	16	15	15223.86	6887.02
age	17	26	30138.90	15812.19
age	18	24	25427.07	14806.23
age	19	20	27226.14	10975.52
age	2	1100	1448026.67	1164729.14
age	20	10	14803.25	6578.47
age	21	15	12922.70	5890.51
age	22	16	19259.15	7940.95
age	23	9	11950.27	4041.98
age	24	4	3825.04	1322.32
age	25	6	7595.00	3855.00
age	26	7	11657.20	2807.20
age	27	5	5314.00	1245.00
age	28	4	6182.75	1247.48
age	29	5	7770.00	3937.75
age	3	895	1130728.51	818172.56
age	30	7	11881.00	5105.00
age	31	2	1200.00	440.00
age	32	1	950.00	100.00
age	38	1	525.00	500.00
age	4	687	821865.48	512839.26
age	43	1	1820.00	260.00
age	5	735	901008.61	503612.35
age	6	516	632840.00	318385.57
age	7	525	682464.33	307691.61
age	8	428	539656.05	181498.52
age	9	264	345309.75	100520.44
amt	1	922	346890.09	218260.25
amt	2	2301	1706132.10	1106988.12
amt	3	3038	4348287.20	2876726.24
amt	4	624	1522121.02	981693.27
amt	5	214	770867.15	516102.54
amt	6	27	180680.21	121362.21
city	Other Cities	2689	3319652.44	2251671.08
city	Tbilisi	4406	5527454.33	3542590.55
city	Without City	31	27871.00	26871.00
goods	1000	2	5401.00	2243.00
goods	1003	1	717.80	419.45
goods	1006	1	1460.00	1269.00
goods	1007	4	3564.24	1160.62
goods	1008	19	21275.29	11280.49
goods	1009	6	7899.52	2441.28
goods	1010	5	8544.66	3797.61
goods	1011	5	8778.71	6385.75
goods	101124	3	1530.00	1391.00
goods	101126	1	1100.00	945.00
goods	101129	1	1620.00	1440.00
goods	1015	1	1240.00	1100.00
goods	1017	1	1130.00	550.00
goods	1021	4	4052.26	2719.48
goods	1023	1	143.00	100.00
goods	1024	1	372.00	62.00
goods	1025	4	2582.00	1670.00
goods	1026	5	3058.16	1910.79
goods	1027	5	2825.00	1798.00
goods	1028	1	760.00	740.00
goods	1030	5	2636.85	2027.07
goods	1031	2	2585.08	2145.08
goods	1033	2	4150.00	3560.00
goods	1035	2	2433.00	1288.00
goods	1036	1	238.00	200.00
goods	1043	1	657.06	129.58
goods	1046	1	430.00	378.00
goods	1052	6	8360.00	4607.00
goods	1054	17	12994.00	6229.00
goods	1055	4	5310.00	1570.00
goods	1056	2	8106.44	1977.75
goods	1057	1	630.00	610.00
goods	1058	1	529.00	110.00
goods	1059	4	3387.00	1340.00
goods	106	1	290.00	196.00
goods	1060	1	1070.00	400.00
goods	1062	2	2972.00	1406.00
goods	1063	13	16026.10	6633.82
goods	1066	6	13102.00	9094.00
goods	1067	4	11649.00	8152.00
goods	10678	2	5045.00	3393.00
goods	1068	2	3750.00	2141.13
goods	10680	1	1780.00	1750.00
goods	10682	2	1530.00	1268.00
goods	10683	11	9731.60	7510.30
goods	10688	1	350.00	330.00
goods	1069	5	12532.00	10010.00
goods	10690	2	1242.00	562.00
goods	10694	1	2010.00	1910.00
goods	10695	2	2410.00	1771.00
goods	1071	1	233.80	119.90
goods	10720	1	1790.00	1584.00
goods	10723	1	1426.00	1120.00
goods	10729	8	6608.60	5151.60
goods	10731	5	6163.91	4847.97
goods	10732	3	1419.10	837.74
goods	1074	3	1966.00	1265.00
goods	1076	3	5209.00	2179.00
goods	1077	1	3480.00	2980.00
goods	108	4	1257.12	435.78
goods	1082	1	1420.00	660.00
goods	1086	41	38772.66	29423.22
goods	1087	9	9459.00	4481.00
goods	1089	2	2188.00	1091.00
goods	1091	1	793.00	171.00
goods	1095	4	5640.00	3606.00
goods	110	2	894.72	653.72
goods	1102	5	4555.00	3232.00
goods	1103	1	1727.00	1305.00
goods	1104	2	2235.27	951.09
goods	1108	1	360.00	340.00
goods	1111	2	3010.00	1680.00
goods	1113	1	2810.00	1023.46
goods	1128	1	1240.00	1080.00
goods	1131	1	1834.00	1072.00
goods	1145	1	2020.00	1400.00
goods	1147	1	3870.00	3393.00
goods	115	4	1704.00	759.00
goods	1151	3	1264.00	458.00
goods	1152	3	992.00	291.00
goods	1153	1	550.00	179.00
goods	1154	1	497.00	190.00
goods	1155	1	330.00	275.00
goods	1157	1	890.00	264.00
goods	1158	3	5756.00	3488.66
goods	1159	1	3569.00	2082.00
goods	116	4	1785.00	756.00
goods	117	2	603.06	327.02
goods	1177	1	1966.00	1574.00
goods	1179	5	7656.00	6070.00
goods	118	1	560.00	424.00
goods	1180	4	8670.00	5639.00
goods	1184	2	640.00	175.00
goods	1185	5	10245.24	7370.24
goods	1186	2	4489.00	2695.00
goods	1188	3	10162.00	7237.00
goods	1189	1	2500.00	2070.00
goods	119	1	229.00	129.00
goods	1190	30	20939.77	10122.76
goods	1191	41	30094.01	15962.51
goods	1192	10	7197.00	4352.00
goods	1193	29	21821.12	12216.13
goods	1201	2	880.00	764.00
goods	1202	1	370.00	240.00
goods	1204	1	250.00	60.00
goods	1206	1	340.00	270.00
goods	1209	1	2400.00	1150.00
goods	1210	7	8763.47	5510.89
goods	1211	3	5010.00	3583.00
goods	1214	2	6298.00	2924.00
goods	1216	2	4971.69	468.23
goods	1217	2	2159.64	1779.82
goods	1228	2	525.00	280.00
goods	1229	3	1016.00	865.00
goods	1231	1	387.78	64.23
goods	1232	2	1459.00	941.00
goods	1234	1	480.00	353.00
goods	1236	3	4093.00	3290.00
goods	1238	1	751.00	303.00
goods	1239	11	26518.42	15429.30
goods	1240	1	3982.00	1544.00
goods	12400	1	510.00	250.00
goods	12404	1	650.00	378.00
goods	1241	1	1820.00	1349.00
goods	12417	1	390.00	380.00
