d	n	price
2025-01-08	2	3210.00
2025-01-09	1	1644.88
2025-01-11	1	520.00
2025-01-15	1	550.00
2025-01-28	1	1279.00
2025-02-04	1	169.00
2025-02-07	2	16820.00
2025-02-12	1	1950.00
2025-02-27	1	280.00
2025-03-12	1	270.00
2025-03-13	1	1050.00
2025-03-14	1	699.00
2025-03-17	2	2147.38
2025-03-18	1	169.00
2025-03-20	1	2000.00
2025-03-25	1	840.00
2025-04-01	1	588.00
2025-04-05	1	1320.00
2025-04-10	1	358.10
2025-04-11	2	3046.13
2025-04-22	1	5200.00
2025-04-23	1	540.00
2025-04-26	1	190.00
2025-04-28	1	940.00
2025-05-02	1	850.00
2025-05-03	1	1440.00
2025-05-05	2	1894.00
2025-05-13	1	2260.00
2025-05-19	1	95.00
2025-05-27	2	1259.00
2025-05-28	2	1398.00
2025-05-30	1	1799.00
2025-06-03	1	497.75
2025-06-06	1	580.00
2025-06-17	1	550.00
2025-06-23	1	239.00
2025-06-25	2	859.00
2025-06-30	1	41.00
2025-07-01	1	659.00
2025-07-09	1	749.00
2025-07-11	2	9500.00
2025-07-22	2	1869.00
2025-07-29	1	1139.00
2025-07-30	1	600.00
2025-08-01	2	2150.00
2025-08-05	1	1370.00
2025-08-06	1	840.00
2025-08-11	1	89.00
2025-08-12	1	570.00
2025-08-18	1	880.00
2025-08-25	1	699.00
2025-08-26	1	140.00
2025-08-27	1	198.50
2025-09-15	1	729.00
2025-09-17	1	2530.00
2025-09-24	1	1340.00
2025-10-01	1	122.00
2025-11-10	1	1894.25
2025-11-11	1	1660.00
2025-11-12	1	829.00
2025-11-24	1	2970.00
2025-12-09	1	920.00
2025-12-12	1	499.00
2025-12-17	1	600.00
2025-12-29	1	439.00
2026-01-14	1	300.00
2026-01-20	1	499.00
2026-01-27	4	956.00
2026-01-29	1	2220.00
