d	n	rem_now	contract	price	paid_after
2026-08-31	7014	5674361.65	8784948.05	9082278.13	159227.66
2026-09-01	7014	5674361.65	8784948.05	9082278.13	126250.41
2026-09-02	7022	5681938.09	8793099.49	9089613.13	105897.41
2026-09-03	7036	5691946.09	8803415.49	9098393.13	90645.47
2026-09-04	7054	5725850.09	8815526.11	9105300.13	75534.60
2026-09-05	7085	5755495.09	8847481.11	9133433.13	60576.10
2026-09-06	7085	5755495.09	8847481.11	9133433.13	51755.64
2026-09-07	7107	5781213.09	8858190.76	9140962.13	31695.31
2026-09-08	7130	5811158.09	8881568.77	9160327.13	18192.54
2026-09-09	7148	5834762.09	8896334.77	9171698.13	2980.00
2026-09-10	7150	5836120.09	8897692.77	9172955.13	0.00
