d	n	rem_now	contract	price	paid_after
2025-01-31	2095	113765.21	2235947.52	2673107.00	1274116.05
2025-02-28	2172	135215.80	2307761.85	2760775.00	1308963.03
2025-03-31	2162	145517.86	2308704.65	2745666.00	1300036.58
2025-04-30	2163	159082.32	2325243.34	2776646.00	1290583.40
2025-05-31	2186	170732.69	2387414.74	2832826.00	1295662.45
2025-06-30	2239	189474.26	2465297.86	2912766.00	1317043.89
2025-07-31	2344	216286.84	2585757.94	3033151.00	1387790.46
2025-08-31	2286	223878.21	2552645.43	2994021.00	1304563.36
2025-09-30	2266	237769.07	2593183.10	3023001.00	1309977.89
2025-10-31	2271	257821.85	2603921.79	3009662.00	1284890.26
2025-11-30	2367	334911.90	2765087.16	3159619.00	1375327.94
2025-12-31	2682	519343.66	3191020.53	3589736.00	1592495.70
2026-01-31	2947	694717.87	3526612.03	3929671.00	1724487.07
2026-02-28	3371	1018889.95	4067164.82	4463625.00	1813219.73
2026-03-31	3868	1469583.32	4699177.16	5087225.00	1818308.09
2026-04-30	4328	1962536.09	5267119.21	5649532.00	1715210.57
2026-05-31	4907	2636512.87	6012536.39	6388208.00	1562331.18
2026-06-30	5826	3766591.83	7260836.72	7620257.00	1356803.05
2026-07-31	6592	4861737.14	8261992.92	8590706.00	905401.91
2026-08-31	7014	5574918.49	8785707.70	9081878.13	258546.38
2026-09-14	7228	5866280.93	8984259.76	9231340.13	0.00
