dim	mo	k	n	amount	rem	act
amt	2025-01	1	31	11292.31	469.62	2
amt	2025-01	2	79	58221.94	1669.50	5
amt	2025-01	3	90	125084.66	5568.72	8
amt	2025-01	4	20	47599.46	1640.00	2
amt	2025-02	1	53	19077.40	43.00	1
amt	2025-02	2	88	65379.58	7065.23	14
amt	2025-02	3	84	118103.66	7632.98	9
amt	2025-02	4	25	56819.14	6596.38	4
amt	2025-02	5	2	6676.00	0.00	0
amt	2025-03	1	43	16093.27	849.65	2
amt	2025-03	2	75	55819.56	2518.24	6
amt	2025-03	3	74	105979.30	3849.17	7
amt	2025-03	4	19	45122.00	3085.00	2
amt	2025-03	5	6	20203.66	0.00	0
amt	2025-04	1	38	13905.80	1385.00	6
amt	2025-04	2	62	46686.84	1940.00	4
amt	2025-04	3	67	91732.39	5560.46	9
amt	2025-04	4	24	56128.29	1849.00	1
amt	2025-04	5	3	10363.95	2830.00	0
amt	2025-05	1	34	11608.44	190.00	1
amt	2025-05	2	70	52130.78	1930.04	5
amt	2025-05	3	79	108207.22	1940.64	4
amt	2025-05	4	22	53473.67	7589.69	3
amt	2025-05	5	5	16847.00	0.00	0
amt	2025-05	6	1	5100.00	0.00	0
amt	2025-06	1	32	11343.53	665.90	3
amt	2025-06	2	87	67141.20	3153.46	8
amt	2025-06	3	81	113025.81	8148.14	9
amt	2025-06	4	22	53995.36	2141.07	1
amt	2025-06	5	6	20828.00	1300.00	1
amt	2025-06	6	1	9000.00	3638.00	1
amt	2025-07	1	50	19690.61	670.72	2
amt	2025-07	2	100	73496.69	3477.30	7
amt	2025-07	3	111	149776.04	9502.34	10
amt	2025-07	4	37	90976.88	8417.66	6
amt	2025-07	5	7	25516.93	4844.56	3
amt	2025-08	1	17	6583.60	368.15	3
amt	2025-08	2	46	34964.39	788.00	2
amt	2025-08	3	56	78225.63	4530.22	6
amt	2025-08	4	19	45932.84	1905.00	1
amt	2025-09	1	26	8459.87	129.00	1
amt	2025-09	2	67	49671.20	748.00	2
amt	2025-09	3	84	118780.99	6751.15	9
amt	2025-09	4	25	61448.27	3880.27	4
amt	2025-09	5	7	25036.62	2382.44	1
amt	2025-10	1	27	10921.84	514.30	3
amt	2025-10	2	67	50386.81	3282.01	10
amt	2025-10	3	92	126524.18	4965.87	10
amt	2025-10	4	17	41174.47	8589.84	5
amt	2025-10	5	3	10982.50	2699.50	1
amt	2025-10	6	1	5590.00	0.00	0
amt	2025-11	1	52	19292.36	3167.41	24
amt	2025-11	2	99	75019.62	11714.24	73
amt	2025-11	3	121	169705.96	43649.81	96
amt	2025-11	4	36	86345.92	8839.79	24
amt	2025-11	5	10	33653.84	12282.46	10
amt	2025-11	6	2	10486.00	0.00	0
amt	2025-12	1	81	28506.31	5041.00	52
amt	2025-12	2	154	113723.84	30940.98	131
amt	2025-12	3	217	304237.98	97964.16	204
amt	2025-12	4	61	146637.99	38005.63	56
amt	2025-12	5	13	44450.08	17411.59	13
amt	2025-12	6	1	10720.00	1944.00	1
amt	2026-01	1	100	36228.59	8871.45	65
amt	2026-01	2	154	116833.81	36916.90	130
amt	2026-01	3	207	291461.53	112668.31	191
amt	2026-01	4	52	127752.37	61968.56	52
amt	2026-01	5	18	65935.51	30586.92	17
amt	2026-01	6	3	16610.00	0.00	0
amt	2026-02	1	86	32571.32	10355.83	61
amt	2026-02	2	211	151370.01	67984.71	195
amt	2026-02	3	247	368816.91	170128.71	228
amt	2026-02	4	44	107634.18	54956.53	43
amt	2026-02	5	15	55990.77	26690.13	15
amt	2026-02	6	1	9765.00	2933.00	1
amt	2026-03	1	96	37319.34	15093.11	83
amt	2026-03	2	237	171675.72	79854.46	216
amt	2026-03	3	322	465587.27	248990.86	307
amt	2026-03	4	49	119310.29	66247.92	47
amt	2026-03	5	20	74371.57	42709.40	20
amt	2026-03	6	3	18036.00	7870.00	3
amt	2026-04	1	99	36896.43	16844.51	87
amt	2026-04	2	230	172516.67	100282.02	223
amt	2026-04	3	319	455684.83	278165.24	314
amt	2026-04	4	45	114085.96	67064.59	44
amt	2026-04	5	10	38522.19	24065.32	10
amt	2026-04	6	5	28909.10	18118.10	5
amt	2026-05	1	106	39509.89	23615.23	100
amt	2026-05	2	285	207493.08	136687.58	280
amt	2026-05	3	341	492140.85	337556.39	332
amt	2026-05	4	63	155903.71	104691.53	60
amt	2026-05	5	29	101744.71	73852.94	29
amt	2026-05	6	2	13649.11	10471.11	2
amt	2026-06	1	124	46670.77	33553.19	120
amt	2026-06	2	353	261305.23	198056.12	349
amt	2026-06	3	521	759125.36	591586.36	515
amt	2026-06	4	93	229359.71	183504.40	93
amt	2026-06	5	42	146476.24	114288.27	41
amt	2026-06	6	6	39261.00	31735.00	6
amt	2026-07	1	135	50734.49	41459.99	134
amt	2026-07	2	336	246458.63	208358.47	334
amt	2026-07	3	415	579372.50	497276.12	412
amt	2026-07	4	98	239912.39	208327.39	98
amt	2026-07	5	38	144004.00	124317.00	38
amt	2026-07	6	6	39210.00	34973.00	6
amt	2026-08	1	120	44285.00	39972.00	119
amt	2026-08	2	220	167324.03	155312.54	219
amt	2026-08	3	281	404461.07	367603.68	280
amt	2026-08	4	55	128269.02	117325.02	55
amt	2026-08	5	12	41880.01	36022.01	12
amt	2026-08	6	2	12130.00	9680.00	2
amt	2026-09	1	33	12335.00	11899.00	33
amt	2026-09	2	63	48219.44	46884.44	63
amt	2026-09	3	50	64014.00	60384.00	50
amt	2026-09	4	8	18179.00	17069.00	8
city	2025-01	Other Cities	59	61611.75	699.62	2
city	2025-01	Tbilisi	161	180586.62	8648.22	15
city	2025-02	Other Cities	57	55700.26	5119.22	9
city	2025-02	Tbilisi	195	210355.52	16218.37	19
city	2025-03	Other Cities	46	47834.10	1659.12	4
city	2025-03	Tbilisi	171	195383.69	8642.94	13
city	2025-04	Other Cities	48	52442.11	1475.32	5
city	2025-04	Tbilisi	146	166375.16	12089.14	15
city	2025-05	Other Cities	49	63720.59	811.00	3
city	2025-05	Tbilisi	162	183646.52	10839.37	10
city	2025-06	Other Cities	76	84833.22	6397.04	10
city	2025-06	Tbilisi	153	190500.68	12649.53	13
city	2025-07	Other Cities	58	74883.08	7751.56	8
city	2025-07	Tbilisi	247	284574.07	19161.02	20
city	2025-08	Other Cities	28	35221.42	1888.00	3
city	2025-08	Tbilisi	110	130485.04	5703.37	9
city	2025-09	Other Cities	37	40034.03	0.00	0
city	2025-09	Tbilisi	172	223362.92	13890.86	17
city	2025-10	Other Cities	64	80387.66	9765.91	12
city	2025-10	Tbilisi	143	165192.14	10285.61	17
city	2025-11	Other Cities	95	115767.24	30553.04	76
city	2025-11	Tbilisi	225	278736.46	49100.67	151
city	2025-12	Other Cities	178	221205.02	70388.56	159
city	2025-12	Tbilisi	349	427071.18	120918.80	298
city	2026-01	Other Cities	196	249695.65	99463.76	175
city	2026-01	Tbilisi	338	405126.16	151548.38	280
city	2026-02	Other Cities	215	263064.57	132836.30	198
city	2026-02	Tbilisi	389	463083.62	200212.61	345
city	2026-03	Other Cities	268	322863.72	181860.09	255
city	2026-03	Tbilisi	459	563436.47	278905.66	421
city	2026-04	Other Cities	291	350818.78	214958.95	280
city	2026-04	Tbilisi	417	495796.40	289580.83	403
city	2026-05	Other Cities	319	387602.10	273073.63	316
city	2026-05	Tbilisi	507	622839.25	413801.15	487
city	2026-06	Other Cities	464	579284.99	456741.79	459
city	2026-06	Tbilisi	675	902913.32	695981.55	665
city	2026-07	Other Cities	408	525349.43	454550.31	407
city	2026-07	Tbilisi	620	774342.58	660161.66	615
city	2026-08	Other Cities	245	282819.02	253539.04	244
city	2026-08	Tbilisi	445	515530.11	472376.21	443
city	2026-09	Other Cities	41	42827.44	39906.44	41
city	2026-09	Tbilisi	82	72049.00	69459.00	82
city	2026-09	Without City	31	27871.00	26871.00	31
goods	2025-01	115	1	537.00	0.00	0
goods	2025-01	155	2	1039.00	0.00	0
goods	2025-01	1985	1	790.00	0.00	0
goods	2025-01	1989	1	1190.00	0.00	0
goods	2025-01	1994	2	3180.00	259.70	1
goods	2025-01	1998	1	1220.00	0.00	0
goods	2025-01	2006	1	866.00	0.00	0
goods	2025-01	2007	1	1165.44	0.00	0
goods	2025-01	229	3	1314.15	0.00	0
goods	2025-01	242	1	1059.00	0.00	0
goods	2025-01	243	1	2520.00	0.00	0
goods	2025-01	245	1	920.00	0.00	0
goods	2025-01	2489	114	120703.11	3888.64	8
goods	2025-01	2511	2	1572.62	0.00	0
goods	2025-01	259	2	2578.00	170.00	1
goods	2025-01	270	1	500.00	0.00	0
goods	2025-01	271	2	2186.00	0.00	0
goods	2025-01	310	1	567.01	0.00	0
goods	2025-01	312	1	950.00	0.00	0
goods	2025-01	322	1	960.00	0.00	0
goods	2025-01	351	1	662.00	0.00	0
goods	2025-01	355	1	691.00	0.00	0
goods	2025-01	392	2	4022.00	1400.00	1
goods	2025-01	416	2	2697.00	0.00	0
goods	2025-01	422	1	1943.00	0.00	0
goods	2025-01	424	1	2917.00	0.00	0
goods	2025-01	426	4	4125.00	0.00	0
goods	2025-01	427	6	5651.64	597.50	2
goods	2025-01	431	5	6129.64	0.00	0
goods	2025-01	436	1	602.00	0.00	0
goods	2025-01	460	1	430.00	0.00	0
goods	2025-01	463	2	3029.00	0.00	0
goods	2025-01	484	1	480.00	0.00	0
goods	2025-01	489	1	451.00	0.00	0
goods	2025-01	507	1	1130.00	0.00	0
goods	2025-01	531	1	990.00	0.00	0
goods	2025-01	537	1	1036.00	0.00	0
goods	2025-01	608	1	1005.00	0.00	0
goods	2025-01	674	1	2332.00	0.00	0
goods	2025-01	681	1	784.00	432.00	1
goods	2025-01	682	2	3080.00	0.00	0
goods	2025-01	684	2	2050.00	0.00	0
goods	2025-01	685	3	3700.00	1100.00	1
goods	2025-01	686	1	2199.00	0.00	0
goods	2025-01	727	1	641.00	0.00	0
goods	2025-01	737	1	1950.00	0.00	0
goods	2025-01	774	3	4387.43	0.00	0
goods	2025-01	781	1	115.10	0.00	0
goods	2025-01	782	3	4873.97	400.00	1
goods	2025-01	816	2	1519.67	0.00	0
goods	2025-01	817	2	3160.00	0.00	0
goods	2025-01	818	2	4254.00	0.00	0
goods	2025-01	829	1	330.00	0.00	0
goods	2025-01	840	2	2569.00	0.00	0
goods	2025-01	850	1	1180.00	1100.00	1
goods	2025-01	854	1	460.49	0.00	0
goods	2025-01	859	1	470.00	0.00	0
goods	2025-01	861	2	1093.06	0.00	0
goods	2025-01	862	2	1154.00	0.00	0
goods	2025-01	863	1	2999.00	0.00	0
goods	2025-01	866	2	2465.20	0.00	0
goods	2025-01	872	1	1240.00	0.00	0
goods	2025-01	876	4	3837.18	0.00	0
goods	2025-01	883	1	2043.00	0.00	0
goods	2025-01	885	1	1290.00	0.00	0
goods	2025-01	893	1	1320.00	0.00	0
goods	2025-01	900	1	892.66	0.00	0
goods	2025-02	119	1	357.00	0.00	0
goods	2025-02	128	2	760.00	0.00	0
goods	2025-02	13218	2	1633.00	820.00	1
goods	2025-02	137	1	32.00	0.00	0
goods	2025-02	1975	1	708.28	0.00	0
goods	2025-02	1976	1	1180.00	0.00	0
goods	2025-02	1979	2	1930.00	0.00	0
goods	2025-02	1994	2	3960.96	0.00	0
goods	2025-02	1995	1	830.00	0.00	0
goods	2025-02	2001	1	1529.00	0.00	0
goods	2025-02	2003	1	2037.00	0.00	0
goods	2025-02	2006	2	1621.00	0.00	0
goods	2025-02	2007	2	3903.00	0.00	0
goods	2025-02	2008	2	2095.82	0.00	0
goods	2025-02	206	1	3276.00	0.00	0
goods	2025-02	214	1	506.04	0.00	0
goods	2025-02	231	1	1090.00	0.00	0
goods	2025-02	2489	134	140026.26	10151.37	12
goods	2025-02	261	1	1590.00	0.00	0
goods	2025-02	270	1	902.00	552.00	1
goods	2025-02	271	3	2777.20	628.50	1
goods	2025-02	294	1	900.00	0.00	0
goods	2025-02	295	1	890.00	0.00	0
goods	2025-02	302	1	778.24	0.00	0
goods	2025-02	308	1	550.00	0.00	0
goods	2025-02	309	1	516.00	0.00	0
goods	2025-02	351	1	950.00	0.00	0
goods	2025-02	392	3	4044.98	858.98	0
goods	2025-02	402	1	1340.00	0.00	0
goods	2025-02	419	1	1562.00	215.00	1
goods	2025-02	424	1	2913.00	1338.00	1
goods	2025-02	425	2	2240.68	0.00	0
goods	2025-02	426	4	4613.00	0.00	0
goods	2025-02	427	4	3439.00	471.00	1
goods	2025-02	431	2	2284.92	0.00	0
goods	2025-02	434	1	2020.00	0.00	0
goods	2025-02	456	1	218.84	0.00	0
goods	2025-02	459	1	430.00	0.00	0
goods	2025-02	471	1	478.00	0.00	0
goods	2025-02	484	1	255.00	0.00	0
goods	2025-02	487	1	500.00	230.00	1
goods	2025-02	530	2	2250.00	0.00	0
goods	2025-02	539	1	438.96	0.00	0
goods	2025-02	606	1	1430.00	0.00	0
goods	2025-02	616	1	890.00	0.00	0
goods	2025-02	660	1	923.50	0.00	0
goods	2025-02	684	2	1598.00	464.00	1
goods	2025-02	685	2	2440.00	0.00	0
goods	2025-02	686	1	2220.00	0.00	0
goods	2025-02	687	1	2090.00	0.00	0
goods	2025-02	693	1	1220.00	0.00	0
goods	2025-02	723	1	390.00	0.00	0
goods	2025-02	736	1	2550.00	0.00	0
goods	2025-02	737	2	3705.00	0.00	0
goods	2025-02	738	1	808.00	0.00	0
goods	2025-02	745	1	364.70	0.00	0
goods	2025-02	751	1	659.00	0.00	0
goods	2025-02	774	1	546.00	484.00	1
goods	2025-02	785	1	800.00	200.00	1
goods	2025-02	795	1	400.00	0.00	0
goods	2025-02	800	2	1341.64	0.00	0
goods	2025-02	817	1	1570.00	0.00	0
goods	2025-02	818	3	6537.00	2550.38	1
goods	2025-02	826	1	1790.00	0.00	0
goods	2025-02	828	1	684.00	0.00	0
goods	2025-02	829	1	206.00	0.00	0
goods	2025-02	854	1	760.00	0.00	0
goods	2025-02	859	2	1031.86	0.00	0
goods	2025-02	861	1	399.10	0.00	0
goods	2025-02	862	5	3584.37	0.00	0
goods	2025-02	866	1	1320.00	300.00	1
goods	2025-02	872	2	1129.00	0.00	0
goods	2025-02	885	2	2565.00	0.00	0
goods	2025-02	887	1	841.00	0.00	0
